timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
147064647,0.99833924,0.011361899,-0.013026335,-0.054954667,0.037527844,0.015114425,-0.12164023,0.04724,0.018208558,-25.376911,1.4092579e-05,1.8071596e-05,9.862745e-06,0.0,0.0,0.00030999628,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.2233731e-10,1.1196508e-05,0.00024881476,9.895514e-08,4.548184e-06,4.548207e-06,3.5945024e-05,0.015986418,0.015986359,0.021622825,0.049769044,0.049769003,0.28795502,2.0580926e-11,2.0581037e-11,3.3101917e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026071683,0.0034910156,0.012933717,67240467,0.3154965,0.5366144,0.012477146,0.0,0.00089367875,0.00089367875,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
147264774,0.9983394,0.011367396,-0.013007866,-0.054955587,0.0369337,0.014649193,-0.12209636,0.046319064,0.017980065,-25.398254,1.41125465e-05,1.8035022e-05,9.897291e-06,0.0,0.0,0.00030938952,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.16377304e-10,1.030846e-05,0.0002628747,9.904124e-08,4.548159e-06,4.5481866e-06,3.597242e-05,0.015987772,0.015987715,0.021821795,0.049769077,0.049769025,0.2923237,2.0580928e-11,2.0581026e-11,3.311184e-11,0.0,0.0,5.0000356e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000244143,0.0028859826,0.008489971,67240467,0.3154966,0.5406697,0.011100075,0.0,0.0008752831,0.0008752831,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
148065216,0.9983362,0.011342454,-0.012971223,-0.055027843,0.03630368,0.015481535,-0.11667887,0.043450125,0.017331624,-25.477463,1.4190267e-05,1.789619e-05,1.0064085e-05,0.0,0.0,0.00030640193,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.1649448e-10,1.0763738e-05,0.00023696959,9.916397e-08,4.5480706e-06,4.548051e-06,3.5966765e-05,0.015987534,0.015987476,0.021682119,0.049769398,0.049769342,0.28947774,2.0580922e-11,2.0580974e-11,3.3109442e-11,0.0,0.0,5.0000267e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026349444,0.0026536817,0.006745167,67240467,0.3154976,0.53803134,0.01041209,0.0,0.00081571954,0.00081571954,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
149065790,0.99833393,0.011377411,-0.012914498,-0.055073768,0.033138487,0.014628869,-0.082904875,0.04024848,0.016861131,-25.461252,1.4282777e-05,1.773628e-05,1.0287974e-05,0.0,0.0,0.00028475697,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.3018037e-10,1.1119199e-05,0.00029420626,9.9154875e-08,4.548028e-06,4.548015e-06,3.598865e-05,0.015982289,0.015982237,0.021771617,0.04976714,0.049767092,0.2913314,2.0580994e-11,2.0580983e-11,3.3116915e-11,0.0,0.0,5.0000445e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002655075,0.0044237226,0.019219289,67240467,0.31549045,0.53975123,0.015961314,0.0,0.0007576839,0.0007576839,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
149265901,0.9983336,0.011312515,-0.012914414,-0.05509352,0.032714743,0.014601919,-0.072871,0.03969538,0.016787702,-25.446817,1.4300863e-05,1.7706101e-05,1.0337791e-05,0.0,0.0,0.00027919177,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.2753205e-10,1.0743908e-05,0.00029095451,9.906574e-08,4.54806e-06,4.5479783e-06,3.5958397e-05,0.015979946,0.015979886,0.021668436,0.049766153,0.04976611,0.28904682,2.0581032e-11,2.058101e-11,3.3105716e-11,0.0,0.0,5.0000263e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028197965,0.0050414596,0.022426054,67240467,0.31548733,0.53763074,0.013663584,0.0,0.0007461582,0.0007461582,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
150066366,0.9983292,0.0112981,-0.012926317,-0.05517231,0.030505117,0.014426151,-0.05561359,0.037236042,0.016551873,-25.445744,1.43733705e-05,1.758887e-05,1.0537931e-05,0.0,0.0,0.00026952554,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.6502685e-10,1.337638e-05,0.00028428005,9.9188874e-08,4.5483175e-06,4.5481606e-06,3.6009602e-05,0.015978148,0.015978105,0.021561401,0.049762014,0.04976198,0.28660005,2.0581321e-11,2.0581257e-11,3.3123865e-11,0.0,0.0,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029296638,0.0024656795,0.007216933,67240467,0.31547424,0.5353504,0.012573027,0.0,0.0007022631,0.0007022631,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
150666712,0.9983265,0.011246192,-0.012962036,-0.05522575,0.030193625,0.014136797,-0.039594885,0.035941485,0.016470367,-25.42501,1.4426458e-05,1.7506067e-05,1.0679263e-05,0.0,0.0,0.00026018402,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.3086632e-10,1.1258575e-05,0.00027327202,9.913204e-08,4.5486117e-06,4.5483616e-06,3.5975667e-05,0.0159774,0.015977366,0.021567253,0.049759816,0.049759813,0.28657225,2.058161e-11,2.0581516e-11,3.3111024e-11,0.0,0.0,5.0000086e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026133104,0.002654121,0.008479136,67240467,0.3154673,0.53532445,0.015327898,0.0,0.0006728657,0.0006728657,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
151667287,0.9983203,0.011219913,-0.012943017,-0.055346917,0.029212024,0.015543441,-0.009953333,0.0341993,0.016765134,-25.351276,1.4514182e-05,1.7374769e-05,1.0923496e-05,0.0,0.0,0.00024176968,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.35903e-10,1.1917808e-05,0.00022638547,9.931691e-08,4.549104e-06,4.5488055e-06,3.5996505e-05,0.015977383,0.015977308,0.02169448,0.04975767,0.04975767,0.2889883,2.058211e-11,2.0581965e-11,3.311817e-11,0.0,0.0,5.0000267e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029765928,0.0022957574,0.007478327,67240467,0.31546053,0.5375763,0.012216569,0.0,0.00063891895,0.00063891895,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
151867392,0.99831885,0.011237517,-0.012936713,-0.055371094,0.029310199,0.01578341,-0.00050580467,0.03400152,0.016846351,-25.318077,1.4531624e-05,1.7349648e-05,1.0974277e-05,0.0,0.0,0.00023535825,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.2398575e-10,1.0778389e-05,0.00022421943,9.9256695e-08,4.549183e-06,4.5489005e-06,3.596609e-05,0.015977278,0.015977187,0.021587713,0.049757566,0.049757566,0.28669938,2.0582192e-11,2.0582038e-11,3.3106965e-11,0.0,0.0,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029051746,0.004445046,0.019300075,67240467,0.3154602,0.5354432,0.011628628,0.0,0.0006343518,0.0006343518,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
152267658,0.9983182,0.011210712,-0.012911943,-0.05539261,0.030217782,0.015859896,0.0075291526,0.03381665,0.017184637,-25.288935,1.4567414e-05,1.7299019e-05,1.1070626e-05,0.0,0.0,0.00023015954,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.0457723e-10,9.349815e-06,0.0002464668,9.9212784e-08,4.549337e-06,4.5490383e-06,3.5963338e-05,0.015978932,0.01597881,0.021698844,0.049757756,0.04975775,0.289004,2.0582347e-11,2.058217e-11,3.31058e-11,0.0,0.0,5.0000267e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028012105,0.0017704454,0.0038101715,67240467,0.31546077,0.5375909,0.013207229,0.0,0.00062849093,0.00062849093,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
152667851,0.9983162,0.011231507,-0.01295825,-0.05541401,0.031407867,0.014819842,0.01606742,0.034122758,0.017239563,-25.274578,1.4603961e-05,1.724821e-05,1.1167256e-05,0.0,0.0,0.00022825046,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,9.957863e-11,8.888142e-06,0.00025332885,9.9181996e-08,4.5495067e-06,4.5491724e-06,3.5960307e-05,0.015976515,0.015976373,0.021501444,0.049757686,0.049757674,0.28467306,2.058247e-11,2.0582269e-11,3.3104547e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028605133,0.0026482267,0.0109158335,67240467,0.31546056,0.53354764,0.012468934,0.0,0.00062943064,0.00062943064,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
153268196,0.99831235,0.01123602,-0.01300508,-0.055470522,0.03196396,0.0141021665,0.023497066,0.035057608,0.01660779,-25.266386,1.4658829e-05,1.7170147e-05,1.1313737e-05,0.0,0.0,0.00022888312,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.1960002e-10,1.07526785e-05,0.00027428032,9.92922e-08,4.5497454e-06,4.549352e-06,3.5984565e-05,0.015974395,0.015974248,0.021534922,0.049756523,0.049756475,0.28513792,2.0582645e-11,2.0582413e-11,3.3113224e-11,0.0,0.0,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002859413,0.005283386,0.024962924,67240467,0.3154568,0.53398305,0.013960319,0.0,0.0006461536,0.0006461536,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
153468309,0.998311,0.011214031,-0.013001205,-0.055502567,0.0327316,0.014779791,0.026199177,0.035340402,0.01649047,-25.257912,1.46767925e-05,1.7143733e-05,1.1365999e-05,0.0,0.0,0.00022818091,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.1670688e-10,1.0404841e-05,0.00026133287,9.925339e-08,4.5498073e-06,4.5493994e-06,3.595426e-05,0.015974538,0.015974397,0.021442847,0.049755994,0.04975594,0.2831033,2.0582694e-11,2.058246e-11,3.31021e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029605223,0.0036527275,0.017312687,67240467,0.31545514,0.5320745,0.017303893,0.0,0.00065109844,0.00065109844,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
153868535,0.99830747,0.011183156,-0.0129875075,-0.055575546,0.03331614,0.01495369,0.02630055,0.03597266,0.016554205,-25.265749,1.4712921e-05,1.7089516e-05,1.1462194e-05,0.0,0.0,0.00023157167,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.0339753e-10,9.32474e-06,0.00026858217,9.941202e-08,4.5499446e-06,4.54952e-06,3.595123e-05,0.015974637,0.015974497,0.021571951,0.04975533,0.04975524,0.28570592,2.058279e-11,2.0582574e-11,3.3100935e-11,0.0,0.0,5.0000175e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029240816,0.006053514,0.028803352,67240467,0.31545296,0.53451467,0.014609883,0.0,0.00066272955,0.00066272955,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
154068654,0.9983066,0.01119116,-0.013005617,-0.055584803,0.033174682,0.015118763,0.026752586,0.03623869,0.01667893,-25.268883,1.4730978e-05,1.706198e-05,1.1506341e-05,0.0,0.0,0.00023309885,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.0255592e-10,9.139852e-06,0.00028255707,9.9497235e-08,4.550035e-06,4.5496013e-06,3.5978526e-05,0.015974663,0.015974525,0.021794517,0.049755108,0.049755026,0.29040584,2.0582843e-11,2.0582635e-11,3.3110858e-11,0.0,0.0,5.0000445e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028057556,0.005472584,0.026267983,67240467,0.31545228,0.53889316,0.013553368,0.0,0.00066820614,0.00066820614,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
154869112,0.9982974,0.011232578,-0.013002489,-0.055742513,0.035275485,0.012533966,0.013118611,0.03740227,0.01579543,-25.343002,1.480454e-05,1.6949107e-05,1.1706088e-05,0.0,0.0,0.00024963965,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.2646408e-10,1.0499977e-05,0.00022286935,9.983732e-08,4.550275e-06,4.549886e-06,3.597236e-05,0.015977263,0.01597716,0.021712938,0.04975529,0.049755182,0.288643,2.0582995e-11,2.0582834e-11,3.3108585e-11,0.0,0.0,5.0000356e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029170723,0.0062577333,0.030534094,67240467,0.3154528,0.53725505,0.013839882,0.0,0.0006880378,0.0006880378,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
155469457,0.99829394,0.0112218065,-0.012973215,-0.0558115,0.038194295,0.014370427,0.0045112837,0.039223753,0.015641144,-25.406246,1.48578265e-05,1.6860391e-05,1.1840654e-05,0.0,0.0,0.00026228535,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.076703e-10,9.130387e-06,0.0002368177,1.0007836e-07,4.550371e-06,4.5499887e-06,3.5996338e-05,0.01597759,0.015977487,0.021730378,0.04975607,0.049755998,0.28903523,2.0583039e-11,2.0582919e-11,3.311721e-11,0.0,0.0,5.0000267e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026635802,0.0058853645,0.027964367,67240467,0.31545535,0.53761995,0.013367944,0.0,0.00071776373,0.00071776373,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
156069797,0.9982903,0.011175397,-0.012942871,-0.055894133,0.036838274,0.0147006,-0.008802473,0.040684942,0.015919777,-25.496944,1.4912299e-05,1.676689e-05,1.1976596e-05,0.0,0.0,0.00027852808,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.1452113e-10,9.682431e-06,0.00024362167,1.00208844e-07,4.5503907e-06,4.550003e-06,3.5962552e-05,0.015978036,0.015977912,0.02174315,0.04975758,0.049757518,0.28937063,2.0583008e-11,2.0582943e-11,3.3104713e-11,0.0,0.0,5.0000356e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027523655,0.00485713,0.02325286,67240467,0.31546015,0.5379318,0.012291714,0.0,0.00075000303,0.00075000303,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
156670142,0.99828804,0.011113074,-0.012909545,-0.055954266,0.035938457,0.013270984,-0.02447864,0.04090742,0.015828375,-25.58796,1.4967244e-05,1.667111e-05,1.2106594e-05,0.0,0.0,0.00029335282,0.3575825,-0.012131023,-0.051028136,0.0,0.0,0.0,0.0,0.0,1.2061262e-10,1.0301278e-05,0.00023016054,1.0044872e-07,4.5503625e-06,4.549957e-06,3.5986828e-05,0.015981529,0.015981387,0.02175302,0.04975892,0.049758874,0.28967124,2.0582931e-11,2.0582919e-11,3.3113495e-11,0.0,0.0,5.0000352e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002540919,0.0032554853,0.014834849,67240467,0.3154644,0.53821117,0.009426371,0.0,0.0007601049,0.0007601049,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
