timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
93954517,5.0869627,0.0,0,1,0,1,0,0,0
94454527,4.941943,0.0,0,1,0,1,0,0,0
95454364,4.9193845,0.0,0,1,0,1,0,0,0
95954364,5.0982423,0.0,0,1,0,1,0,0,0
96954316,5.078906,0.0,0,1,0,1,0,0,0
97954453,5.064404,0.0,0,1,0,1,0,0,0
99454944,4.914551,0.0,0,1,0,1,0,0,0
101454360,4.951611,0.0,0,1,0,1,0,0,0
101954319,5.0853515,0.0,0,1,0,1,0,0,0
103954607,4.956445,0.0,0,1,0,1,0,0,0
105454320,5.038623,0.0,0,1,0,1,0,0,0
106454520,5.077295,0.0,0,1,0,1,0,0,0
107455286,5.078906,0.0,0,1,0,1,0,0,0
107955213,4.966113,0.0,0,1,0,1,0,0,0
108455663,5.0869627,0.0,0,1,0,1,0,0,0
108955846,4.9709473,0.0,0,1,0,1,0,0,0
109954319,5.0257325,0.0,0,1,0,1,0,0,0
111454319,5.062793,0.0,0,1,0,1,0,0,0
113454733,4.945166,0.0,0,1,0,1,0,0,0
115954321,5.069238,0.0,0,1,0,1,0,0,0
116454365,4.956445,0.0,0,1,0,1,0,0,0
117954866,5.0708494,0.0,0,1,0,1,0,0,0
119454322,4.940332,0.0,0,1,0,1,0,0,0
120454357,4.9483886,0.0,0,1,0,1,0,0,0
121454435,5.064404,0.0,0,1,0,1,0,0,0
121954324,4.966113,0.0,0,1,0,1,0,0,0
122454592,5.082129,0.0,0,1,0,1,0,0,0
123954336,4.9854493,0.0,0,1,0,1,0,0,0
124954504,4.966113,0.0,0,1,0,1,0,0,0
125455010,5.082129,0.0,0,1,0,1,0,0,0
126455631,5.067627,0.0,0,1,0,1,0,0,0
126955898,5.054736,0.0,0,1,0,1,0,0,0
127954320,5.0515137,0.0,0,1,0,1,0,0,0
130954400,5.0660157,0.0,0,1,0,1,0,0,0
131454415,5.033789,0.0,0,1,0,1,0,0,0
135454512,5.0708494,0.0,0,1,0,1,0,0,0
136454316,5.041846,0.0,0,1,0,1,0,0,0
137454362,5.0015626,0.0,0,1,0,1,0,0,0
137954320,5.0450683,0.0,0,1,0,1,0,0,0
138454319,5.062793,0.0,0,1,0,1,0,0,0
139454319,5.062793,0.0,0,1,0,1,0,0,0
139954380,5.040234,0.0,0,1,0,1,0,0,0
140454574,5.0660157,0.0,0,1,0,1,0,0,0
141954366,5.069238,0.0,0,1,0,1,0,0,0
142454433,5.0869627,0.0,0,1,0,1,0,0,0
142955158,5.0354004,0.0,0,1,0,1,0,0,0
143455075,5.069238,0.0,0,1,0,1,0,0,0
147954329,5.024121,0.0,0,1,0,1,0,0,0
148954517,5.0595703,0.0,0,1,0,1,0,0,0
149954330,5.009619,0.0,0,1,0,1,0,0,0
150454320,5.0354004,0.0,0,1,0,1,0,0,0
151954357,5.0805173,0.0,0,1,0,1,0,0,0
153454848,5.0724607,0.0,0,1,0,1,0,0,0
153954361,4.956445,0.0,0,1,0,1,0,0,0
154454317,5.0015626,0.0,0,1,0,1,0,0,0
156454319,5.0756836,0.0,0,1,0,1,0,0,0
156954325,5.082129,0.0,0,1,0,1,0,0,0
157954558,5.0466795,0.0,0,1,0,1,0,0,0
158954321,5.104687,0.0,0,1,0,1,0,0,0
159954432,5.08374,0.0,0,1,0,1,0,0,0
160955202,5.0499024,0.0,0,1,0,1,0,0,0
161455465,5.082129,0.0,0,1,0,1,0,0,0
162455886,5.041846,0.0,0,1,0,1,0,0,0
163454323,5.130469,0.0,0,1,0,1,0,0,0
168954390,5.033789,0.0,0,1,0,1,0,0,0
169454319,5.08374,0.0,0,1,0,1,0,0,0
169954379,5.08374,0.0,0,1,0,1,0,0,0
170454689,5.0499024,0.0,0,1,0,1,0,0,0
171454320,5.151416,0.0,0,1,0,1,0,0,0
171954317,5.0482907,0.0,0,1,0,1,0,0,0
173954430,5.0708494,0.0,0,1,0,1,0,0,0
174954344,5.040234,0.0,0,1,0,1,0,0,0
175454593,5.038623,0.0,0,1,0,1,0,0,0
176954677,5.0869627,0.0,0,1,0,1,0,0,0
177954474,5.0756836,0.0,0,1,0,1,0,0,0
181454316,5.0563474,0.0,0,1,0,1,0,0,0
182454330,5.08374,0.0,0,1,0,1,0,0,0
186454322,5.0450683,0.0,0,1,0,1,0,0,0
189954336,5.0595703,0.0,0,1,0,1,0,0,0
191454316,5.043457,0.0,0,1,0,1,0,0,0
191954319,5.08374,0.0,0,1,0,1,0,0,0
192454673,5.0724607,0.0,0,1,0,1,0,0,0
192954357,5.0208983,0.0,0,1,0,1,0,0,0
193454320,5.057959,0.0,0,1,0,1,0,0,0
194454680,5.043457,0.0,0,1,0,1,0,0,0
194954757,5.08374,0.0,0,1,0,1,0,0,0
197454355,5.0595703,0.0,0,1,0,1,0,0,0
198454316,5.0805173,0.0,0,1,0,1,0,0,0
202454413,5.040234,0.0,0,1,0,1,0,0,0
204954905,5.08374,0.0,0,1,0,1,0,0,0
205454321,5.0901856,0.0,0,1,0,1,0,0,0
206454326,5.0966306,0.0,0,1,0,1,0,0,0
206954319,5.0321774,0.0,0,1,0,1,0,0,0
207454345,5.0466795,0.0,0,1,0,1,0,0,0
207954319,5.0869627,0.0,0,1,0,1,0,0,0
208454338,5.0515137,0.0,0,1,0,1,0,0,0
208954469,5.0466795,0.0,0,1,0,1,0,0,0
209454580,5.0756836,0.0,0,1,0,1,0,0,0
209954320,5.1240234,0.0,0,1,0,1,0,0,0
210954329,5.08374,0.0,0,1,0,1,0,0,0
213954323,5.08374,0.0,0,1,0,1,0,0,0
214954439,5.141748,0.0,0,1,0,1,0,0,0
216454362,5.0466795,0.0,0,1,0,1,0,0,0
217454473,5.0563474,0.0,0,1,0,1,0,0,0
218954410,5.004785,0.0,0,1,0,1,0,0,0
219454319,5.0708494,0.0,0,1,0,1,0,0,0
219954321,5.0321774,0.0,0,1,0,1,0,0,0
220454377,5.0466795,0.0,0,1,0,1,0,0,0
221955340,5.038623,0.0,0,1,0,1,0,0,0
222454327,5.0853515,0.0,0,1,0,1,0,0,0
222954319,4.980615,0.0,0,1,0,1,0,0,0
223954485,5.0805173,0.0,0,1,0,1,0,0,0
224954361,5.0466795,0.0,0,1,0,1,0,0,0
226454321,5.0273438,0.0,0,1,0,1,0,0,0
226954319,5.054736,0.0,0,1,0,1,0,0,0
227954323,5.0756836,0.0,0,1,0,1,0,0,0
229455520,5.077295,0.0,0,1,0,1,0,0,0
229955580,5.077295,0.0,0,1,0,1,0,0,0
230454352,5.038623,0.0,0,1,0,1,0,0,0
230954330,5.0869627,0.0,0,1,0,1,0,0,0
231954538,5.0756836,0.0,0,1,0,1,0,0,0
232954319,5.0273438,0.0,0,1,0,1,0,0,0
233454475,5.064404,0.0,0,1,0,1,0,0,0
233954388,5.0805173,0.0,0,1,0,1,0,0,0
234454511,5.078906,0.0,0,1,0,1,0,0,0
236454330,5.0273438,0.0,0,1,0,1,0,0,0
236954434,5.0595703,0.0,0,1,0,1,0,0,0
238954321,5.0853515,0.0,0,1,0,1,0,0,0
239454321,4.9983397,0.0,0,1,0,1,0,0,0
239954374,5.0515137,0.0,0,1,0,1,0,0,0
240954320,5.0756836,0.0,0,1,0,1,0,0,0
241954582,5.077295,0.0,0,1,0,1,0,0,0
242454491,5.064404,0.0,0,1,0,1,0,0,0
242954326,5.0273438,0.0,0,1,0,1,0,0,0
243454336,4.9822264,0.0,0,1,0,1,0,0,0
243954414,5.082129,0.0,0,1,0,1,0,0,0
244954546,5.0756836,0.0,0,1,0,1,0,0,0
245454891,5.0724607,0.0,0,1,0,1,0,0,0
245955399,5.069238,0.0,0,1,0,1,0,0,0
