timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
157076421,2162698,2162698,0,0,0,0,0,0.00023869544,9.510656e-06,1.0795793e-10,400,400
158082059,2162698,2162698,0,0,0,0,0,0.00024545903,9.978159e-06,1.2323029e-10,400,400
159007676,2162698,2162698,0,0,0,0,0,0.00026003554,9.043173e-06,1.042697e-10,400,400
160023134,2162698,2162698,0,0,0,0,0,0.00023371194,1.0139834e-05,1.1920685e-10,400,400
161023748,2162698,2162698,0,0,0,0,0,0.0002648184,9.575397e-06,1.04299645e-10,400,400
163054901,2162698,2162698,0,0,0,0,0,0.00027772845,1.0379818e-05,1.1705166e-10,400,400
165086097,2162698,2162698,0,0,0,0,0,0.00024228249,9.590605e-06,1.0814252e-10,400,400
166001684,2162698,2162698,0,0,0,0,0,0.00025480625,1.1149274e-05,1.3002537e-10,400,400
171054558,2162698,2162698,0,0,0,0,0,0.00075864035,5.7655165e-05,1.312067e-09,400,400
172065071,2162698,2162698,0,0,0,0,0,0.0005110749,4.6929603e-05,9.175856e-10,400,400
174081247,2162698,2162698,0,0,0,0,0,0.00026027733,1.9635147e-05,2.6695834e-10,400,400
175086888,2162698,2162698,0,0,0,0,0,0.00028055956,1.934616e-05,2.5184238e-10,400,400
176012446,2162698,2162698,0,0,0,0,0,0.00029657801,1.5301212e-05,1.8358857e-10,400,400
177017939,2162698,2162698,0,0,0,0,0,0.00028054067,1.6908109e-05,2.3483215e-10,400,400
181075341,2162698,2162698,0,0,0,0,0,0.0002281195,1.3304884e-05,1.5893839e-10,400,400
182081003,2162698,2162698,0,0,0,0,0,0.00023869521,1.9411818e-05,2.588905e-10,400,400
183086508,2162698,2162698,0,0,0,0,0,0.0002468899,1.8076247e-05,2.436841e-10,400,400
185007732,2162698,2162698,0,0,0,0,0,0.00023847319,1.2014834e-05,1.3341465e-10,400,400
186018202,2162698,2162698,0,0,0,0,0,0.00022194494,1.0722495e-05,1.3036543e-10,400,400
188039415,2162698,2162698,0,0,0,0,0,0.00067865977,7.9855854e-05,4.4341393e-09,400,400
190065634,2162698,2162698,0,0,0,0,0,0.00028497571,1.8298066e-05,2.9546024e-10,400,400
193002391,2162698,2162698,0,0,0,0,0,0.00050271093,7.0340575e-05,3.090673e-09,400,400
196044096,2162698,2162698,0,0,0,0,0,0.00051045814,4.3772725e-05,8.433731e-10,400,400
197049709,2162698,2162698,0,0,0,0,0,0.0006770526,5.4193035e-05,1.1152806e-09,400,400
198055319,2162698,2162698,0,0,0,0,0,0.0003357374,1.9915478e-05,3.0521452e-10,400,400
199055903,2162698,2162698,0,0,0,0,0,0.0002599254,1.0745113e-05,1.244412e-10,400,400
200061539,2162698,2162698,0,0,0,0,0,0.00022550316,1.0595358e-05,1.13399075e-10,400,400
203083263,2162698,2162698,0,0,0,0,0,0.00021242596,1.1207729e-05,1.1788422e-10,400,400
204083859,2162698,2162698,0,0,0,0,0,0.00023292759,1.04367e-05,1.1686331e-10,400,400
206014998,2162698,2162698,0,0,0,0,0,0.00025373974,9.479901e-06,1.0024344e-10,400,400
208016247,2162698,2162698,0,0,0,0,0,0.00025045298,9.5267305e-06,1.01518106e-10,400,400
216000948,2162698,2162698,0,0,0,0,0,0.0002816685,9.282357e-06,1.0713262e-10,400,400
219022838,2162698,2162698,0,0,0,0,0,0.00021494273,8.970803e-06,9.064e-11,400,400
221044008,2162698,2162698,0,0,0,0,0,0.00022070012,8.452883e-06,8.7857055e-11,400,400
222059595,2162698,2162698,0,0,0,0,0,0.00025462554,9.123037e-06,9.462136e-11,400,400
225081383,2162698,2162698,0,0,0,0,0,0.00025964336,9.436399e-06,1.04336165e-10,400,400
225992024,2162698,2162698,0,0,0,0,0,0.00023783246,9.4095885e-06,9.7423715e-11,400,400
229038763,2162698,2162698,0,0,0,0,0,0.0008407053,6.01972e-05,2.400158e-09,400,400
230039346,2162698,2162698,0,0,0,0,0,0.001318397,0.00010342944,7.3413626e-09,400,400
233071263,2162698,2162698,0,0,0,0,0,0.0008734187,5.4578337e-05,1.6986094e-09,400,400
234086964,2162698,2162698,0,0,0,0,0,0.00043029874,2.4671164e-05,4.432257e-10,400,400
237013561,2162698,2162698,0,0,0,0,0,0.00047044095,4.2582655e-05,1.1698313e-08,400,400
238019185,2162698,2162698,0,0,0,0,0,0.00039958663,3.9607938e-05,2.3877988e-09,400,400
239019924,2162698,2162698,0,0,0,0,0,0.00039881762,3.677926e-05,1.0120527e-09,400,400
242047060,2162698,2162698,0,0,0,0,0,0.0004011111,4.304893e-05,9.755974e-10,400,400
243052383,2162698,2162698,0,0,0,0,0,0.00032896345,2.7115933e-05,4.675394e-10,400,400
244068112,2162698,2162698,0,0,0,0,0,0.00036502414,2.2799208e-05,3.4893768e-10,400,400
245088805,2162698,2162698,0,0,0,0,0,0.0002768211,1.8717807e-05,2.5895713e-10,400,400
