timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
3518107,-0.00040252367,0.004793168,-0.0014845298,5002,0,-0.2237749,-0.19566841,-9.763756,5002,0
3523109,0.0010307383,0.0043261657,-0.0008780461,5002,0,-0.2341549,-0.2135475,-9.745089,5002,0
3528111,0.00081129343,0.004609493,-0.00094843196,5002,0,-0.2291566,-0.21514371,-9.738496,5002,0
3533114,0.00019824812,0.0044016037,-0.0014439957,5003,0,-0.23895907,-0.22363876,-9.7385025,5003,0
3538117,-0.0019108709,0.0027786577,-0.000429582,5003,0,-0.25157157,-0.23827203,-9.744428,5003,0
3543120,-0.0005482988,0.0030930482,-0.0013395373,5003,0,-0.2281478,-0.21623947,-9.762005,5003,0
3548119,-0.001392009,0.004196318,-0.0017008818,4999,0,-0.21465433,-0.21314001,-9.75475,4999,0
3553122,-0.0012287224,0.0033669265,-0.0016484965,5003,0,-0.2135142,-0.20476328,-9.735567,5003,0
3558124,-0.0019316818,0.0028571582,-0.00092466857,5002,0,-0.23440509,-0.18881059,-9.759507,5002,0
3563126,-0.002072014,0.0036531158,-0.002437026,5002,0,-0.23740971,-0.1967634,-9.739734,5002,0
3573130,0.0014745203,0.0044749645,-0.0016118228,5002,0,-0.23277667,-0.20454863,-9.77576,5002,0
3578139,-0.0016407392,0.0035492198,-0.0014278285,5009,0,-0.24719508,-0.18135083,-9.748039,5009,0
3583134,-0.0009810217,0.003741636,-0.0012918093,4995,0,-0.2360945,-0.18153307,-9.733323,4995,0
3588136,-0.002422577,0.0044973665,-0.00217737,5002,0,-0.22677469,-0.1895711,-9.741917,5002,0
3593138,0.00036980628,0.006110646,-0.0013691848,5002,0,-0.22455919,-0.16919735,-9.760458,5002,0
3633166,-0.00076576194,0.0053890874,-0.0026124844,5014,0,-0.20788333,-0.19617695,-9.724035,5014,0
3638159,-0.0009090537,0.003695307,-0.0015892257,4993,0,-0.23104492,-0.19867927,-9.707319,4993,0
3643159,-0.0020872199,0.004029531,-0.0015591171,5000,0,-0.24001363,-0.18616797,-9.784709,5000,0
3648161,-0.0025397066,0.004200014,-0.0014781468,5002,0,-0.22988996,-0.22368473,-9.775461,5002,0
3683180,-0.0021348726,0.0043755295,-0.0014335566,4996,0,-0.2284183,-0.20455241,-9.753976,4996,0
3688178,0.0015997704,0.0049270983,-0.0017598071,4998,0,-0.22688939,-0.18318821,-9.74656,4998,0
3693179,-0.0010450163,0.0046645408,-0.0007368789,5001,0,-0.24503784,-0.17489125,-9.755856,5001,0
3698203,-4.9718088e-05,0.003198966,-0.0016416202,5024,0,-0.2272343,-0.20841524,-9.753861,5024,0
3703183,-0.00050491665,0.0029961532,-0.002708862,4980,0,-0.2351186,-0.2145328,-9.745041,4980,0
3708217,0.0005265547,0.0040041874,-0.0023610594,5034,0,-0.23228145,-0.18551996,-9.747601,5034,0
3713187,-0.00034280284,0.004366648,-0.0028669594,4970,0,-0.24154441,-0.21783647,-9.740006,4970,0
3718202,0.0007019571,0.00452827,-0.001778153,5015,0,-0.22698234,-0.20880318,-9.772677,5015,0
3723192,-0.00017444274,0.0044076815,-0.0014624094,4990,0,-0.22467187,-0.20881139,-9.744972,4990,0
3728194,-0.00050331315,0.0040508797,-0.0017194386,5002,0,-0.23552616,-0.21621223,-9.766162,5002,0
3733196,0.00023846228,0.003741758,-0.002729247,5002,0,-0.20857257,-0.19881625,-9.743653,5002,0
3738201,-0.00088225503,0.0059196344,-0.002764733,5005,0,-0.21899109,-0.19705434,-9.757278,5005,0
3743206,0.0003735919,0.0045081233,-0.002569161,5005,0,-0.2446694,-0.20401064,-9.760119,5005,0
3748202,1.3299315e-06,0.0048798206,-0.0005168183,4996,0,-0.24668667,-0.19633605,-9.743795,4996,0
3753204,2.9263956e-05,0.003540279,-0.0016469745,5002,0,-0.23849149,-0.20835572,-9.761995,5002,0
3758210,-0.00019401113,0.004650272,-0.0010663364,5006,0,-0.22840302,-0.2161995,-9.746663,5006,0
3763208,-0.0005091298,0.005439633,-0.0014510689,4998,0,-0.22219902,-0.22998017,-9.730224,4998,0
3768230,-0.0006271332,0.0041968646,-0.0010988908,5022,0,-0.23762652,-0.20369647,-9.698232,5022,0
3773212,-0.0006654779,0.004800294,-0.0008949454,4982,0,-0.22070865,-0.20692031,-9.762848,4982,0
3778218,0.0004478863,0.0036191188,-0.0003990957,5006,0,-0.22535455,-0.19845082,-9.78964,5006,0
3783216,0.0011614193,0.004232572,-0.0012656068,4998,0,-0.2572429,-0.17961368,-9.772461,4998,0
3788218,6.555218e-05,0.0042191497,-0.0010970726,5002,0,-0.2665882,-0.20137234,-9.772034,5002,0
3793221,0.00032228144,0.0031069806,-0.0014394965,5003,0,-0.22089943,-0.18260328,-9.746425,5003,0
3798233,0.0016718702,0.00537462,-0.0014675799,5012,0,-0.23487708,-0.18933448,-9.763812,5012,0
3803226,-0.00057066843,0.004983612,-0.0020317468,4993,0,-0.2753962,-0.2267583,-9.755229,4993,0
3808233,0.00028737998,0.004299524,-0.0013725202,5007,0,-0.23944224,-0.21615636,-9.763898,5007,0
3813232,-0.00217169,0.0050727474,-0.0020421026,4999,0,-0.24426922,-0.23287512,-9.729696,4999,0
3818246,-0.00048183464,0.004949154,-0.0010183019,5014,0,-0.22275092,-0.2155015,-9.7776375,5014,0
3823237,-0.00029849043,0.004092349,-0.0026707433,4991,0,-0.2299126,-0.18227926,-9.769241,4991,0
3828244,0.00026441153,0.0048850174,-0.0028102105,5007,0,-0.22026259,-0.19902724,-9.797738,5007,0
3833250,-0.00011389271,0.003078093,-0.0024387925,5006,0,-0.2148245,-0.22640361,-9.725981,5006,0
3838248,0.0021917205,0.0038906203,-0.0020230666,4998,0,-0.25658217,-0.22160332,-9.706768,4998,0
3843250,0.0005968923,0.00386336,-0.0010894337,5002,0,-0.22496793,-0.19911139,-9.737869,5002,0
3848243,-0.00045320106,0.004819641,-0.0010056224,4993,0,-0.23199461,-0.19000001,-9.754797,4993,0
3853259,-0.0012731394,0.0041382415,-0.0012007903,5016,0,-0.2545946,-0.19984473,-9.730142,5016,0
3858251,-0.003068255,0.003951561,-0.0021519486,4992,0,-0.23093395,-0.21409827,-9.787215,4992,0
3863251,-0.001807149,0.0035276124,-0.0016379519,5000,0,-0.2344862,-0.19740765,-9.79634,5000,0
3868254,-0.00023228902,0.0030728136,-0.00055389834,5003,0,-0.22482884,-0.23649503,-9.778551,5003,0
3873258,-0.00017673873,0.0038823208,-0.0019272236,5004,0,-0.22773115,-0.2377224,-9.783004,5004,0
3878259,0.000248378,0.0047308393,-0.0018633672,5001,0,-0.22719318,-0.18678859,-9.770751,5001,0
3883269,-4.130079e-05,0.004055236,-0.0008033103,5010,0,-0.23455389,-0.18480325,-9.7732725,5010,0
3888262,-0.0012603384,0.00499258,-0.001202022,4993,0,-0.23805866,-0.22065677,-9.80535,4993,0
3893277,-0.001763491,0.004256872,-0.0018450173,5015,0,-0.24721786,-0.20822936,-9.746886,5015,0
3898267,-0.00046465293,0.0048660203,-0.0007182409,4990,0,-0.22152403,-0.20100254,-9.73144,4990,0
3903266,-0.0014157288,0.0051364773,-0.0018752873,4999,0,-0.21872322,-0.20277749,-9.719029,4999,0
3948307,-0.00016375097,0.0036909557,-0.0018789038,5018,0,-0.23551211,-0.16578022,-9.761801,5018,0
3953292,-0.0009866764,0.0042197113,-0.00086466066,4985,0,-0.2418719,-0.21032935,-9.757935,4985,0
3958287,-0.00021923424,0.0036822653,-3.8678645e-05,4995,0,-0.2513525,-0.22659779,-9.767056,4995,0
3963304,0.00030810677,0.004453247,-8.718276e-05,5017,0,-0.22934312,-0.1877416,-9.712665,5017,0
4008311,-0.0009165329,0.0044133626,-0.00020736111,5004,0,-0.20958368,-0.18190575,-9.725489,5004,0
4013314,0.00033158466,0.004586031,-0.00093630643,5003,0,-0.2254422,-0.20101447,-9.733371,5003,0
4018317,0.00047982656,0.0040039974,-0.0022016382,5003,0,-0.24459691,-0.18950275,-9.744799,5003,0
4023339,0.0001518723,0.003997732,-0.0013689653,5022,0,-0.23745087,-0.19895339,-9.730607,5022,0
4028324,0.0016392979,0.004161684,-0.00341245,4985,0,-0.23507513,-0.23972239,-9.753467,4985,0
4033322,0.00053518364,0.004685181,-0.0018213971,4998,0,-0.24741471,-0.21458465,-9.756256,4998,0
4038324,-0.00013319332,0.0046834117,-0.00076110347,5002,0,-0.21145326,-0.2134075,-9.768243,5002,0
4043332,-0.0016847426,0.003197171,-0.002173083,5008,0,-0.22428586,-0.20646678,-9.766604,5008,0
4048328,-0.002243121,0.0047190525,-0.0023069084,4996,0,-0.21633707,-0.22016327,-9.746054,4996,0
4053328,-0.0013276697,0.0037651963,-0.001364652,5000,0,-0.22940962,-0.20705205,-9.75456,5000,0
4058332,-0.0010913276,0.003780445,-0.0022787156,5004,0,-0.24517745,-0.21356031,-9.742997,5004,0
4063340,-0.001678568,0.003704692,-0.0026529527,5008,0,-0.23943222,-0.21659282,-9.722558,5008,0
4068334,0.00013879732,0.004534234,-0.0009891595,4994,0,-0.26571465,-0.20884117,-9.775752,4994,0
4073338,0.00032628348,0.0042520235,-0.0007314152,5004,0,-0.23865168,-0.19779973,-9.769017,5004,0
4078341,0.00076365075,0.004545088,-0.001390776,5003,0,-0.24084692,-0.18261413,-9.756248,5003,0
4083342,0.0011439029,0.0035305195,-0.0010847236,5001,0,-0.2513711,-0.19580764,-9.745301,5001,0
4098349,0.0008263129,0.00493171,-0.0015163653,5002,0,-0.2282833,-0.20239048,-9.804428,5002,0
4103348,-0.0013239079,0.0030977698,-0.002189765,4999,0,-0.22738786,-0.22761402,-9.771694,4999,0
4108353,-0.0023863395,0.0039569647,-0.001382289,5005,0,-0.21224675,-0.23200078,-9.766871,5005,0
4113355,-0.003751643,0.006095166,0.0001866989,5002,0,-0.23897277,-0.24343707,-9.782712,5002,0
4118357,-0.003110518,0.005159222,-0.0010096309,5002,0,-0.22315097,-0.220421,-9.730881,5002,0
4123359,-0.0031451192,0.004424812,-0.0013585695,5002,0,-0.23319241,-0.26283917,-9.729062,5002,0
4128380,-0.0029244244,0.0051794085,-0.0020291111,5021,0,-0.24286327,-0.20960325,-9.719288,5021,0
4133363,-0.0041355146,0.003581245,-0.0011131773,4983,0,-0.22030805,-0.22233392,-9.690514,4983,0
4138364,0.00011708418,0.0045245066,-0.0012156882,5001,0,-0.22706242,-0.20227757,-9.68782,5001,0
4143368,0.0020147522,0.0041714786,-0.001221918,5004,0,-0.23016718,-0.17978282,-9.743976,5004,0
4163376,0.00029724094,0.0050964644,-0.001718494,5002,0,-0.26430073,-0.15997358,-9.799793,5002,0
4168378,-0.00018231236,0.004150537,0.00036063418,5002,0,-0.23318875,-0.15366286,-9.753747,5002,0
4173388,-0.000562577,0.0041667195,-0.0021301114,5010,0,-0.23658256,-0.17459948,-9.735825,5010,0
4178383,0.00086759246,0.003824119,-0.0018687798,4995,0,-0.21705623,-0.21409112,-9.751092,4995,0
4183384,0.0024393746,0.0035824664,-0.0014854927,5001,0,-0.214747,-0.22819367,-9.789128,5001,0
4188383,0.0020702903,0.003070849,-0.00077582465,4999,0,-0.22706114,-0.21239215,-9.763235,4999,0
4193404,0.0007411481,0.0046737827,-0.0019526511,5021,0,-0.23363294,-0.20017523,-9.741468,5021,0
4198389,0.0002151711,0.00343469,-0.0024352102,4985,0,-0.21655172,-0.23511949,-9.803222,4985,0
4203392,-0.0009951522,0.0051367567,-0.0017098835,5003,0,-0.22011009,-0.2632693,-9.768073,5003,0
4208394,-0.00089369016,0.004032881,-0.001017619,5002,0,-0.22468883,-0.22690012,-9.742711,5002,0
4213440,-0.0005793009,0.003956422,-0.0018222916,5046,0,-0.22959934,-0.20410359,-9.719645,5046,0
4218406,0.0010719728,0.00395271,-0.0014162203,4966,0,-0.23485467,-0.23525788,-9.721229,4966,0
4223401,-0.0007071779,0.003387032,-0.0008178801,4995,0,-0.23355612,-0.24216871,-9.7137165,4995,0
4228403,0.0008204817,0.004244881,-0.0020128356,5002,0,-0.25423357,-0.23429038,-9.766619,5002,0
4233415,0.00074451754,0.004406246,-0.0012266296,5012,0,-0.2546501,-0.23907009,-9.785367,5012,0
4238407,-0.00092834915,0.00355395,-0.0015974372,4992,0,-0.21446303,-0.23435101,-9.747285,4992,0
4243408,-0.001107855,0.0023575411,-0.003006207,5001,0,-0.23815995,-0.20826003,-9.749821,5001,0
4248411,-6.996222e-06,0.003751597,-0.002488608,5003,0,-0.24879925,-0.20433734,-9.777757,5003,0
4253414,-0.0011793774,0.003687922,-0.0009950891,5003,0,-0.24070336,-0.22869606,-9.76875,5003,0
4308435,0.0012365546,0.0037268058,-0.00070005737,4995,0,-0.24545285,-0.26184702,-9.757812,4995,0
4313488,-0.0006567579,0.0037592857,-0.00069462805,5053,0,-0.23792537,-0.23881134,-9.753078,5053,0
4318469,-0.0016530817,0.0035577905,-0.00012903158,4981,0,-0.22677545,-0.22306645,-9.749893,4981,0
4323442,-0.0012116372,0.004893913,-0.0015830599,4973,0,-0.23595105,-0.21554789,-9.778275,4973,0
4328441,-0.0010694733,0.0033254856,-0.0018402212,4999,0,-0.25029618,-0.20289247,-9.752899,4999,0
4333451,0.00025888812,0.003532515,-0.0012215208,5010,0,-0.23794769,-0.19530118,-9.773858,5010,0
4338454,0.0006845905,0.0045360536,-0.0010917259,5003,0,-0.25911847,-0.2186027,-9.741574,5003,0
4343450,0.0007264114,0.004589881,-0.0020397964,4996,0,-0.23128091,-0.21384314,-9.757609,4996,0
4348455,-0.00050930394,0.0055321245,-0.0015016835,5005,0,-0.21089895,-0.2118974,-9.753551,5005,0
4353466,-0.00037401126,0.0047990377,-0.0014531517,5011,0,-0.22460891,-0.1960836,-9.74791,5011,0
4358459,0.0010790572,0.0049156663,-0.001497153,4993,0,-0.22952282,-0.17095649,-9.749876,4993,0
4363459,-0.00059667625,0.0037792227,-0.001808005,5000,0,-0.25968254,-0.16275729,-9.75406,5000,0
4368452,-0.0013704067,0.0037291907,-0.0023762963,4993,0,-0.2635076,-0.21026662,-9.762421,4993,0
4388473,0.00032999727,0.0036524893,-0.0015199258,5006,0,-0.24030969,-0.22422561,-9.716377,5006,0
4393495,-0.000508805,0.0036653166,-0.0015497428,5022,0,-0.23773931,-0.22162293,-9.770613,5022,0
4398478,-0.0008269097,0.004726587,-0.0009997583,4983,0,-0.23556823,-0.23435672,-9.747338,4983,0
4403511,-0.0008667636,0.004253734,-0.0029337152,5033,0,-0.23240389,-0.23218341,-9.730318,5033,0
4408489,-0.00013293173,0.0028891463,-0.00094516436,4978,0,-0.21344374,-0.21970578,-9.780217,4978,0
4413506,-4.5404537e-05,0.0056460667,-0.002127821,5017,0,-0.23129821,-0.24635397,-9.754678,5017,0
4418498,-0.0023357735,0.004111124,-0.0017531401,4992,0,-0.25370643,-0.22350709,-9.743044,4992,0
4423509,-0.0021607752,0.0038358702,-0.002467305,5011,0,-0.25487712,-0.21534587,-9.752962,5011,0
4428512,-0.00091676,0.0045901127,-0.0021162506,5003,0,-0.22690165,-0.24420004,-9.773293,5003,0
