timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
84957098,84956049,2162698,2162698,9.870698e-06,1.5152711e-05,-9.101721e-07,-0.0013403179,-0.001186427,-0.048793286,5004,5004,0
85457422,85456314,2162698,2162698,2.0720801e-05,1.0207639e-05,-1.9839945e-06,-0.001261781,-0.001039037,-0.04899302,5022,5022,0
86953176,86952054,2162698,2162698,2.599079e-06,1.0432064e-05,-2.4896795e-07,-0.0011020661,-0.0010339263,-0.048927527,4993,4993,0
87453406,87452311,2162698,2162698,2.2666543e-06,1.2192059e-05,-3.0174258e-06,-0.0011536197,-0.00096242124,-0.048872575,5001,5001,0
89954731,89953592,2162698,2162698,2.3578823e-05,1.6578446e-05,1.6379433e-06,-0.0010761877,-0.0011310912,-0.048519902,4985,4985,0
90454934,90453859,2162698,2162698,1.5688529e-05,1.009315e-05,-2.5411987e-06,-0.0014539504,-0.0010798366,-0.048430525,4977,4977,0
93456465,93455394,2162698,2162698,1.1468106e-06,1.2336452e-05,6.9239763e-06,-0.0011096644,-0.0012084174,-0.048832893,5006,5006,0
93956754,93955653,2162698,2162698,-1.0534188e-05,1.5706302e-05,-3.782443e-06,-0.0012129302,-0.0011816561,-0.04901877,5006,5006,0
94457078,94455917,2162698,2162698,4.6081145e-06,1.1445431e-05,-2.3999137e-06,-0.0011470866,-0.0011723397,-0.048834793,5012,5012,0
95457512,95456428,2162698,2162698,1.2168867e-05,5.479258e-06,5.6136146e-06,-0.00117536,-0.0009657731,-0.04873262,4993,4993,0
95957899,95956694,2162698,2162698,4.4614106e-05,8.289034e-06,6.9288435e-06,-0.001233916,-0.0014820817,-0.049263835,5006,5006,0
96953266,96952200,2162698,2162698,-3.9333545e-06,1.1813879e-05,2.3256675e-06,-0.0011443697,-0.001468021,-0.048587866,5003,5003,0
97953932,97952740,2162698,2162698,1.9797521e-06,1.533887e-05,7.784959e-06,-0.0012177534,-0.0010276573,-0.048781637,5022,5022,0
101455605,101454546,2162698,2162698,-1.2638829e-05,1.6661072e-05,-4.494491e-07,-0.0009547427,-0.0014523396,-0.048781697,5001,5001,0
101956074,101954811,2162698,2162698,-7.1441846e-08,1.041523e-05,4.127837e-06,-0.0010145899,-0.0014393826,-0.04899518,4997,4997,0
