timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
201466256,0.9979182,0.010837237,-0.012786981,-0.06227688,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201471255,0.997918,0.010832618,-0.012786482,-0.062280476,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201476260,0.99791783,0.010831103,-0.012784293,-0.062283717,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201481264,0.9979177,0.0108310385,-0.012784916,-0.062287148,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201521290,0.9979173,0.010830267,-0.012782908,-0.062293887,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201526282,0.9979172,0.0108315395,-0.012782067,-0.062294234,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201531310,0.9979172,0.010834974,-0.012781058,-0.062293515,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201536310,0.99791735,0.01083426,-0.012782605,-0.062292572,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201541299,0.99791723,0.010833583,-0.012781,-0.062294185,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201546303,0.99791706,0.010834164,-0.012783547,-0.06229635,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201551302,0.9979167,0.010834929,-0.012783202,-0.062300462,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201646367,0.9979161,0.010845385,-0.012769943,-0.06231261,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201651367,0.9979161,0.010843246,-0.0127710765,-0.06231226,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201656372,0.997916,0.010846022,-0.012772058,-0.062313337,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201661378,0.9979158,0.010850998,-0.012775661,-0.062316027,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201666380,0.9979158,0.010852406,-0.012774788,-0.062315635,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201706397,0.9979154,0.010836669,-0.012775989,-0.062324066,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201711399,0.9979154,0.010839393,-0.012775322,-0.06232355,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201716403,0.99791527,0.010845607,-0.012774578,-0.062324274,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201721415,0.99791515,0.010851268,-0.012772984,-0.062325504,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201726416,0.99791515,0.0108482,-0.012775911,-0.06232555,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201731412,0.9979151,0.010847327,-0.012776068,-0.062326934,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201736419,0.99791515,0.0108474335,-0.012775703,-0.062325872,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201751421,0.9979151,0.010852526,-0.012775706,-0.06232689,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201756426,0.997915,0.010851101,-0.01277632,-0.06232749,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201761446,0.9979151,0.0108526535,-0.012776419,-0.062326062,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201766432,0.99791515,0.010859171,-0.012775382,-0.06232395,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201771432,0.9979151,0.010860893,-0.012777292,-0.06232491,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201806456,0.9979152,0.010841761,-0.012773099,-0.062326793,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201811469,0.99791527,0.010841527,-0.012773387,-0.062326223,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
