timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
411378716,1,1,0,1,0,0,0,0,0,0,0,0,0,0
411880621,1,1,0,1,0,0,0,0,0,0,0,0,0,0
412387018,1,1,0,1,0,0,0,0,0,0,0,0,0,0
412896620,1,1,0,1,0,0,0,0,0,0,0,0,0,0
413406464,1,1,0,1,0,0,0,0,0,0,0,0,0,0
413907597,1,1,0,1,0,0,0,0,0,0,0,0,0,0
414410317,1,1,0,1,0,0,0,0,0,0,0,0,0,0
414920925,1,1,0,1,0,0,0,0,0,0,0,0,0,0
415428745,1,1,0,1,0,0,0,0,0,0,0,0,0,0
416432650,1,1,0,1,0,0,0,0,0,0,0,0,0,0
417440492,1,1,0,1,0,0,0,0,0,0,0,0,0,0
417944731,1,1,0,1,0,0,0,0,0,0,0,0,0,0
418451692,1,1,0,1,0,0,0,0,0,0,0,0,0,0
418951735,1,1,0,1,0,0,0,0,0,0,0,0,0,0
419455587,1,1,0,1,0,0,0,0,0,0,0,0,0,0
419964594,1,1,0,1,0,0,0,0,0,0,0,0,0,0
420467131,1,1,0,1,0,0,0,0,0,0,0,0,0,0
420971260,1,1,0,1,0,0,0,0,0,0,0,0,0,0
421976632,1,1,0,1,0,0,0,0,0,0,0,0,0,0
422485527,1,1,0,1,0,0,0,0,0,0,0,0,0,0
422987213,1,1,0,1,0,0,0,0,0,0,0,0,0,0
423497349,1,1,0,1,0,0,0,0,0,0,0,0,0,0
423999859,1,1,0,1,0,0,0,0,0,0,0,0,0,0
424504697,1,1,0,1,0,0,0,0,0,0,0,0,0,0
425008805,1,1,0,1,0,0,0,0,0,0,0,0,0,0
425512480,1,1,0,1,0,0,0,0,0,0,0,0,0,0
426012487,1,1,0,1,0,0,0,0,0,0,0,0,0,0
426522295,1,1,0,1,0,0,0,0,0,0,0,0,0,0
427027811,1,1,0,1,0,0,0,0,0,0,0,0,0,0
427527839,1,1,0,1,0,0,0,0,0,0,0,0,0,0
428031070,1,1,0,1,0,0,0,0,0,0,0,0,0,0
428537511,1,1,0,1,0,0,0,0,0,0,0,0,0,0
429039176,1,1,0,1,0,0,0,0,0,0,0,0,0,0
429544516,1,1,0,1,0,0,0,0,0,0,0,0,0,0
430054017,1,1,0,1,0,0,0,0,0,0,0,0,0,0
430556513,1,1,0,1,0,0,0,0,0,0,0,0,0,0
431059663,1,1,0,1,0,0,0,0,0,0,0,0,0,0
431565186,1,1,0,1,0,0,0,0,0,0,0,0,0,0
432065370,1,1,0,1,0,0,0,0,0,0,0,0,0,0
432566905,1,1,0,1,0,0,0,0,0,0,0,0,0,0
433070906,1,1,0,1,0,0,0,0,0,0,0,0,0,0
433576441,1,1,0,1,0,0,0,0,0,0,0,0,0,0
434086901,1,1,0,1,0,0,0,0,0,0,0,0,0,0
