timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
464695773,1627401673200103,11010077,386202857,-91522004,68052,116277,2.2340002,0.114538975,6.26,13.149,1.42,3.1799998,83,24,15.691001,10.019,-12.076,2.647,5.4049497,0,nan,0.0,2496,3,0,1,7
465695985,1627401674200103,11010077,386203869,-91523386,63011,111236,1.7070001,0.08506071,6.3110003,13.243001,1.42,3.1799998,83,6,16.636002,13.47,-9.7630005,4.275,5.656051,0,nan,0.0,2496,3,0,1,7
466696461,1627401675200103,11010077,386205201,-91524507,56992,105217,1.9440001,0.10142701,6.2960005,13.397,1.42,3.1799998,83,10,18.304,15.826001,-9.1970005,4.8100004,5.756753,0,nan,0.0,2496,3,0,1,7
467697160,1627401676200103,11010077,386206583,-91525729,54395,102620,2.187,0.124265514,6.425,13.683001,1.42,3.1799998,83,21,17.389,14.080001,-10.205001,-3.134,5.6560335,0,nan,0.0,2496,3,0,1,7
468697434,1627401677200103,11010077,386207966,-91526611,58473,106698,2.15,0.1303513,6.571,13.916,1.17,2.4299998,83,22,16.376001,15.003,-6.564,-1.9080001,5.870731,0,nan,0.0,2496,3,0,1,8
469693286,1627401678200103,11010077,386209318,-91527328,54454,102679,1.71,0.12790523,6.616,14.124001,1.17,2.4299998,84,8,14.981001,14.395,-4.15,2.9440002,6.002525,0,nan,0.0,2496,3,0,1,8
471690433,1627401680200104,11010077,386211498,-91529242,46216,94442,2.351,0.22088799,6.8120003,14.678,1.17,2.4299998,84,5,10.087001,8.784,-4.959,0.606,5.7692595,0,nan,0.0,2496,3,0,1,8
472699897,1627401681200104,11010077,386212484,-91529997,46993,95219,2.1560001,0.17676467,6.945,14.848001,1.17,2.4299998,84,7,12.618001,11.1,-6.0020003,0.078,5.7875085,0,nan,0.0,2496,3,0,1,8
473700391,1627401682200104,11010077,386213624,-91530595,44548,92773,1.812,0.13264711,6.9960003,14.963,1.17,2.4299998,84,10,14.853001,14.117001,-4.618,0.98200005,5.9670353,0,nan,0.0,2496,3,0,1,8
475702225,1627401684200104,11010077,386216046,-91531661,36747,84973,1.567,0.12528637,6.985,15.225,1.17,2.4299998,84,8,14.990001,13.790001,-5.8750005,5.282,5.880439,0,nan,0.0,2496,3,0,1,8
476692913,1627401685200104,11010077,386217087,-91532489,33948,82174,1.843,0.17329007,6.9600005,15.342001,1.17,2.4299998,84,12,11.893001,9.862,-6.6460004,-1.7300001,5.6901813,0,nan,0.0,2496,3,0,1,8
478693642,1627401687200104,11010077,386218680,-91533673,41295,89521,1.8720001,0.1983181,7.0120006,15.541,1.17,2.4299998,84,4,11.219001,8.019,-7.846,-0.703,5.50868,0,nan,0.0,2496,3,0,1,8
479698236,1627401688200105,11010077,386219685,-91534415,46361,94587,2.693,0.22266018,7.1840005,15.801001,1.17,2.4299998,84,9,11.978001,10.361,-6.01,-0.43,5.7575817,0,nan,0.0,2496,3,0,1,8
480693460,1627401689200105,11010077,386220943,-91535245,47121,95347,1.9990001,0.11714859,7.2960005,15.938001,1.17,2.4299998,84,28,16.237001,14.343,-7.6110005,-0.194,5.7953444,0,nan,0.0,2496,3,0,1,8
481695366,1627401690200105,11010077,386222311,-91536076,48104,96330,1.9070001,0.116597936,7.2960005,15.908001,1.17,2.4299998,84,13,16.639,15.377001,-6.3570004,-0.89500004,5.891149,0,nan,0.0,2496,3,0,1,8
482695110,1627401691200105,11010077,386223672,-91536551,52730,100956,2.2120001,0.13288116,7.2830005,15.920001,1.17,2.4299998,84,9,15.181001,14.7890005,-3.426,-5.092,6.055549,0,nan,0.0,2496,3,0,1,8
483705436,1627401692200105,11010077,386224822,-91536505,68802,117028,1.6890001,0.1488935,7.2770004,15.954,1.17,2.4299998,84,21,11.595,11.593,-0.224,-9.655001,6.2638354,0,nan,0.0,2496,3,0,1,8
484695990,1627401693200105,11010077,386225770,-91536248,78267,126494,1.9260001,0.15240233,7.2880006,16.053001,1.17,2.4299998,84,27,12.016001,11.746,2.5340002,-3.3240001,0.2124872,0,nan,0.0,2496,3,0,1,8
486706015,1627401695200105,11010077,386227856,-91535414,74490,122716,1.557,0.116600215,7.0800004,16.067001,1.17,2.4299998,84,26,13.074,12.769001,2.808,-1.9000001,0.21644299,0,nan,0.0,2496,3,0,1,8
487703258,1627401696200105,11010077,386229076,-91535024,79795,128021,1.9150001,0.12803037,7.0210004,16.092001,1.17,2.4299998,84,14,12.427001,11.6310005,4.375,-4.9740005,0.35975787,0,nan,0.0,2496,3,0,1,8
488697581,1627401697200106,11010077,386230036,-91534428,86180,134406,1.9110001,0.124735884,6.939,16.038,1.17,2.4299998,84,7,12.422001,9.895,7.51,-4.5530005,0.6492548,0,nan,0.0,2496,3,0,1,8
489699244,1627401698200106,11010077,386230916,-91533368,92760,140986,1.9980001,0.19476967,6.9300003,16.143002,1.17,2.4299998,84,24,13.814001,7.7260003,11.451,-4.2250004,0.97722566,0,nan,0.0,2496,3,0,1,8
490709165,1627401699200106,11010077,386231374,-91531593,98514,146741,2.0970001,0.10478991,6.951,16.233002,1.17,2.4299998,84,26,18.107,4.217,17.609001,-4.5420003,1.3357296,0,nan,0.0,2496,3,0,1,8
492699870,1627401701200106,11010077,386231156,-91527460,100381,148607,1.7080001,0.07596702,6.6800003,15.85,1.17,2.4299998,84,9,21.092001,-5.629,20.327002,-1.756,1.8409437,0,nan,0.0,2496,3,0,1,8
493699432,1627401702200106,11010077,386230469,-91525131,101880,150107,1.463,0.061626352,6.5590005,15.6710005,1.17,2.4199998,84,25,22.585001,-10.257001,20.121,-1.2870001,2.0422282,0,nan,0.0,2496,3,0,1,8
494693459,1627401703200106,11010077,386229316,-91522851,99885,148112,1.4840001,0.07074081,6.4750004,15.411001,1.17,2.4199998,84,6,24.748001,-13.924001,20.459002,0.22600001,2.1683664,0,nan,0.0,2496,3,0,1,8
495696156,1627401704200106,11010077,386228044,-91520513,99228,147455,1.6980001,0.09096027,6.465,15.329,1.17,2.4199998,84,11,24.687,-13.203001,20.86,2.7340002,2.1350927,0,nan,0.0,2496,3,0,1,8
496702015,1627401705200106,11010077,386226777,-91518177,102013,150239,1.5710001,0.08524938,6.5340004,15.323001,1.17,2.4199998,84,6,25.118002,-15.204,19.994001,0.82100004,2.2209413,0,nan,0.0,2496,3,0,1,8
499703254,1627401708200107,11010077,386221809,-91511485,110542,158769,1.779,0.061004143,6.656,15.320001,1.64,4.02,84,9,27.543001,-22.326,16.130001,0.0,2.5159357,0,nan,0.0,2496,3,0,1,7
500703812,1627401709200107,11010077,386219456,-91509861,111405,159631,2.237,0.05972499,6.708,15.479001,1.64,4.02,84,30,29.049002,-26.371002,12.183001,-6.236,2.7088256,0,nan,0.0,2496,3,0,1,7
501695088,1627401710200107,11010077,386217287,-91508712,116304,164529,1.8160001,0.079838164,6.8760004,15.879001,1.64,4.02,84,8,20.783,-18.803001,8.8550005,-5.7050004,2.7014718,0,nan,0.0,2496,3,0,1,7
502695696,1627401711200107,11010077,386215677,-91508179,133235,181461,2.1660001,0.10189459,7.0490003,16.265001,1.17,2.4199998,84,9,18.697,-18.651001,1.304,-11.675,3.0718155,0,nan,0.0,2496,3,0,1,8
503700728,1627401712200107,11010077,386214475,-91508124,157124,205350,1.95,0.07382655,6.9670005,16.142,1.17,2.4199998,84,16,18.310001,-18.309,0.24200001,-9.521001,3.128374,0,nan,0.0,2496,3,0,1,8
504695629,1627401713200107,11010077,386212755,-91508102,165051,213276,1.5530001,0.056802437,6.8560004,15.788001,1.17,2.4199998,84,29,22.939001,-22.938002,-0.27400002,-4.0340004,3.153534,0,nan,0.0,2496,3,0,1,8
