timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
423711991,423710818,2162698,2162698,1.710871e-05,-3.8690512e-05,0.000114142844,0.007697081,0.0006996027,-0.048551884,5011,5011,0,3
424212292,424211216,2162698,2162698,-0.00010828976,-3.1479e-05,0.00011383978,0.006877266,0.000994899,-0.047089033,5012,5012,0,3
424712794,424711648,2162698,2162698,-0.00021879286,-2.7124493e-05,-0.00011454797,0.008537869,0.0012787574,-0.049277928,4979,4979,0,3
425213226,425212023,2162698,2162698,0.00036075062,6.37024e-05,-0.00011100171,0.012844873,-0.0043054605,-0.05636667,4980,4980,0,3
425713631,425712429,2162698,2162698,-0.00017455027,-0.0002292253,-0.00035442965,0.015871681,-0.0061452654,-0.047572292,5004,5004,0,3
426214049,426212833,2162698,2162698,0.00011100695,0.00035568792,-0.00066862116,0.016989019,-0.0054483744,-0.044925828,5004,5004,0,3
427214736,427213635,2162698,2162698,-0.0011129342,-0.00026811138,0.0011368173,0.028192127,0.014693793,-0.0446269,5004,5004,0,3
427715119,427714031,2162698,2162698,-0.0009043743,-0.00067035074,1.1665701e-05,0.031686757,0.0060848705,-0.037661385,5003,5003,0,3
428215572,428214437,2162698,2162698,-0.00094878103,0.0013153472,-0.00096362835,0.02824583,0.001688779,-0.054013394,4972,4972,0,3
428715906,428714821,2162698,2162698,-0.00068899896,0.00076877995,-0.0013010805,0.024473686,0.0014852273,-0.055728026,4976,4976,0,3
429216285,429215202,2162698,2162698,0.002973146,0.0006362619,-0.00069096603,0.023409763,-0.0051564593,-0.058127362,4997,4997,0,3
429711720,429710583,2162698,2162698,0.0008588942,0.00032297298,0.00034089235,0.0186988,-0.005226231,-0.051234953,5004,5004,0,3
430212150,430210972,2162698,2162698,-0.00042802372,0.00025550116,0.0003766557,0.021864591,-0.0011382895,-0.050191615,4995,4995,0,3
430712984,430711344,2162698,2162698,0.002415029,-0.00022165276,0.0015594615,0.018445648,0.00629792,-0.03427788,5003,5003,0,3
431212821,431211742,2162698,2162698,-0.003960143,-0.0006933955,0.0006233573,0.01824534,-0.0036260723,-0.05655016,5017,5017,0,3
431713255,431712096,2162698,2162698,-0.0015094548,-0.0004966931,0.00041106506,0.02070372,-0.0035664693,-0.056085702,5001,5001,0,3
432214443,432212467,2162698,2162698,-0.0019329808,-0.00025038727,-0.0003422566,0.01432303,0.0045703803,-0.04795403,5003,5003,0,3
432714727,432712836,2162698,2162698,0.00050589343,-0.00043819327,-0.00033107967,0.017045008,-0.001991795,-0.04489915,5003,5003,0,3
433214990,433213203,2162698,2162698,-0.0016750252,-0.0007178312,0.0005605758,0.013295454,-0.000646664,-0.049114514,4993,4993,0,3
433714656,433713568,2162698,2162698,-0.00015868456,0.00033303924,-0.0019778807,0.018534254,-0.0056373137,-0.05821864,5004,5004,0,3
434215215,434213980,2162698,2162698,0.0016054031,-0.0002040332,-0.00073512865,0.016788919,0.0074047926,-0.03510195,5051,5051,0,3
434716448,434714288,2162698,2162698,0.00021437163,-0.00045115402,-0.00010529189,0.012648163,-0.010916943,-0.041921873,4993,4993,0,3
435215857,435214657,2162698,2162698,0.0021615499,-0.00057959335,-4.2077503e-05,0.010453591,0.0024297931,-0.033517137,5016,5016,0,3
435716160,435715005,2162698,2162698,0.0018701795,0.0001093437,0.0005230179,0.008092506,-0.0051854625,-0.04364011,5011,5011,0,3
436217605,436215348,2162698,2162698,-0.0018297556,-0.00077535707,0.0009174381,0.004113742,-0.0022706364,-0.043960523,4996,4996,0,3
436711942,436710700,2162698,2162698,-4.840476e-05,0.002205476,0.0008840403,0.010680442,0.008465973,-0.10745893,5011,5011,0,3
437217947,437216042,2162698,2162698,-0.00034309557,0.0018894712,0.00022888427,0.01003038,-0.004306743,-0.08936592,5003,5003,0,3
437718516,437716394,2162698,2162698,0.0017288368,-0.00043419047,0.000265216,0.00761124,0.0026410837,-0.0344923,4990,4990,0,3
438212916,438211724,2162698,2162698,0.0035259046,8.4738225e-05,0.0013700826,0.009872379,0.0015137512,-0.03845169,5004,5004,0,3
438719113,438717087,2162698,2162698,-0.0015438008,-0.0008763791,0.002321634,0.0062027955,0.012930971,-0.025600241,5029,5029,0,3
439213605,439212417,2162698,2162698,0.0021237358,0.0005792322,0.0007834072,0.0072398754,0.0049178633,-0.0514108,5017,5017,0,3
439719944,439717738,2162698,2162698,-0.0020903351,-0.00033696907,0.0017165041,0.0050840895,0.0018674784,-0.039023332,5003,5003,0,3
440214164,440213068,2162698,2162698,-0.0009918192,-0.00028746843,0.0018589719,-0.013866926,0.0015712753,-0.025269883,5003,5003,0,3
440714649,440713405,2162698,2162698,-0.006053912,-0.00075003563,8.5774154e-05,-0.012227223,-0.007934011,-0.055557493,5002,5002,0,3
441214856,441213730,2162698,2162698,0.001315422,-0.0004998069,-0.0002677511,-0.015540557,-0.00089969614,-0.021915475,4998,4998,0,3
441715320,441714110,2162698,2162698,-0.0029900363,-0.0007366248,0.00010223711,-0.012830968,-0.006023202,-0.04042691,5046,5046,0,3
442215596,442214405,2162698,2162698,0.0065544164,0.0004852138,-0.0018570753,0.005593009,0.009809086,-0.06535344,5003,5003,0,3
442721821,442719726,2162698,2162698,0.0059303776,0.0027070148,0.003097196,0.008684662,-0.013286747,-0.05247633,4979,4979,0,3
443216225,443215046,2162698,2162698,-0.0044940505,0.0028586914,0.0019269799,0.012962377,-0.002955304,-0.07077848,5004,5004,0,3
443722437,443720372,2162698,2162698,0.0009835048,0.002442268,0.000101105245,0.009534702,-0.0012448081,-0.09585819,4949,4949,0,3
444211948,444210689,2162698,2162698,-0.0040220036,0.00093983294,0.0027723303,0.009554076,-0.0038037112,-0.102025546,4973,4973,0,3
444712086,444711018,2162698,2162698,0.0012291188,0.0011969252,0.00038036797,0.0030304142,-0.0060220556,-0.030606592,5012,5012,0,3
445213626,445211328,2162698,2162698,0.002318657,-0.0001233528,0.00022199306,0.004064528,-0.008538924,-0.037020396,5003,5003,0,3
445713448,445711645,2162698,2162698,-0.0029536958,-0.00036001776,0.001052061,0.012352032,-0.007752834,-0.051768195,5002,5002,0,3
446214216,446211960,2162698,2162698,0.0008958022,0.0007712254,-0.00022386346,0.008298844,-0.0014636249,-0.07037052,5002,5002,0,3
446713375,446712281,2162698,2162698,-0.00033260285,0.0007973442,0.000568282,0.012381006,-0.004823722,-0.056418747,5010,5010,0,3
447214753,447212585,2162698,2162698,0.000690237,0.00048084956,0.0006744429,0.0072415182,0.0036998296,-0.05622142,5002,5002,0,3
447714865,447712895,2162698,2162698,8.404329e-05,0.0003317091,0.0010985085,0.008790632,-0.0023234116,-0.045664735,5002,5002,0,3
448214267,448213204,2162698,2162698,-0.00019105984,0.00038538966,0.001101038,0.006473042,-0.0054875193,-0.0641083,4980,4980,0,3
448715341,448713508,2162698,2162698,-2.055263e-05,0.00076407596,0.00091761234,0.0005218315,0.0049067503,-0.065846,4994,4994,0,3
449215066,449213816,2162698,2162698,-0.004402068,-0.0005700145,0.0013274843,0.0013949142,0.0028875226,-0.03984457,5003,5003,0,3
449716186,449714119,2162698,2162698,0.0016295675,0.0006470415,-0.00024870742,0.0050303275,-0.0009042461,-0.045980122,4996,4996,0,3
450215510,450214421,2162698,2162698,0.00010242015,0.00014496673,0.00050205307,0.0041339486,-0.0009581081,-0.045746766,5003,5003,0,3
450716570,450714728,2162698,2162698,-0.0014463166,3.2766126e-05,0.0010404738,0.0053133476,-0.004325363,-0.050012868,4993,4993,0,3
451217276,451215019,2162698,2162698,-0.00036385094,1.4157795e-05,0.00038953315,0.0015587513,-0.0023240647,-0.06582685,5003,5003,0,3
451717261,451715342,2162698,2162698,-0.0018420505,5.996091e-05,2.56872e-05,-0.001902793,0.0032310681,-0.034091916,5029,5029,0,3
452211881,452210614,2162698,2162698,-0.00024459776,8.1967766e-05,0.0003331821,0.0024728368,-8.141399e-05,-0.056553643,5009,5009,0,3
452711975,452710903,2162698,2162698,-0.00034983474,0.00020210347,0.0008228411,0.0009991367,-0.002614706,-0.05144875,5005,5005,0,3
453218770,453216203,2162698,2162698,-0.0005087859,-0.00012432756,-0.00024411782,-0.00077066134,0.0007083129,-0.04247082,5009,5009,0,3
453718273,453716487,2162698,2162698,0.0016867388,0.00029874672,0.00016932844,0.0023797099,8.08401e-05,-0.050198726,5002,5002,0,3
454218873,454216776,2162698,2162698,0.00069101277,0.0001471631,0.0005372486,0.0028648404,0.0014487789,-0.037246563,5002,5002,0,3
454718953,454717064,2162698,2162698,2.8557435e-05,0.00012251774,0.0005725901,0.0073822043,-0.006481133,-0.03184415,5002,5002,0,3
455213598,455212348,2162698,2162698,0.00087990105,0.00033610247,0.0008887084,0.003422359,-0.0043604793,-0.05211667,5003,5003,0,3
455719616,455717636,2162698,2162698,-0.0015403809,0.0007717366,0.0010843643,0.0040468965,-0.012777882,-0.0831472,5000,5000,0,3
