timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
442685291,921600.0,1.0,12440.687,0.0,119532,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443434475,921600.0,1.0,11995.49,0.0,119747,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444190209,921600.0,1.0,12142.244,0.0,119965,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444946904,921600.0,1.0,12142.244,0.0,120173,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446460009,921600.0,1.0,12211.5205,0.0,120603,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447218091,921600.0,1.0,11804.485,0.0,120820,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447971164,921600.0,1.0,11804.485,0.0,121022,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449488806,921600.0,1.0,11792.987,0.0,121442,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450248133,921600.0,1.0,11776.985,0.0,121652,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450989668,921600.0,1.0,11776.985,0.0,121858,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453261558,921600.0,1.0,12061.45,0.0,122501,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454016931,921600.0,1.0,12061.45,0.0,122715,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455525743,921600.0,1.0,12418.599,0.0,123147,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456282933,921600.0,1.0,12120.342,0.0,123365,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457034016,921600.0,1.0,12120.342,0.0,123575,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458533762,921600.0,1.0,12145.405,0.0,124007,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459294545,921600.0,1.0,12240.624,0.0,124220,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460054891,921600.0,1.0,12240.624,0.0,124425,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461560470,921600.0,1.0,12175.401,0.0,124847,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462320113,921600.0,1.0,11680.903,0.0,125062,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463076084,921600.0,1.0,11680.903,0.0,125275,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464591278,921600.0,1.0,11842.432,0.0,125697,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465347100,921600.0,1.0,12011.56,0.0,125911,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466098044,921600.0,1.0,12011.56,0.0,126117,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467612896,921600.0,1.0,11971.578,0.0,126540,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468372168,921600.0,1.0,12035.231,0.0,126753,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469124765,921600.0,1.0,12035.231,0.0,126974,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470641228,921600.0,1.0,12076.782,0.0,127398,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471395216,921600.0,1.0,12007.843,0.0,127613,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472154550,921600.0,1.0,12007.843,0.0,127824,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
