timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
437627529,18.95346,18.95346,19.778767,9.5603,10.235136,1,1
437827516,18.942385,18.942385,19.768257,10.07601,10.787152,1,1
438027685,18.716072,18.716072,19.537264,10.242226,10.965242,1,1
438227747,17.672155,17.672155,18.44815,10.700497,11.455352,1,1
438427505,17.988153,17.988153,18.778381,10.935425,11.70653,1,1
438627515,17.342627,17.342627,18.104794,11.789413,12.619966,1,1
438827502,16.893448,16.893448,17.634132,12.589922,13.476641,1,1
439027499,17.459114,17.459114,18.224854,13.388442,14.330711,1,1
439227503,17.133522,17.133522,17.885027,13.9684725,14.95044,1,1
439427509,17.071514,17.071514,17.820164,14.905066,15.951516,1,1
439627502,16.588432,16.588432,17.316006,16.065733,17.192446,1,1
439827515,18.365368,18.365368,19.170176,16.918447,18.103172,1,1
440027504,19.224188,19.224188,20.067038,17.516808,18.742357,1,1
440227514,19.091326,19.091326,19.930843,17.71286,18.953321,1,1
440427509,18.647976,18.647976,19.471178,18.051123,19.314445,1,1
440627554,17.213985,17.213985,17.973927,18.092493,19.357256,1,1
440827508,16.889648,16.889648,17.632017,17.975718,19.230637,1,1
441027499,16.113316,16.113316,16.821518,17.680643,18.914032,1,1
441227499,16.23983,16.23983,16.953272,17.503412,18.723503,1,1
441427722,15.331859,15.331859,16.007395,17.18832,18.384651,1,1
441627675,15.122739,15.122739,15.786027,16.683773,17.843845,1,1
441827659,14.591527,14.591527,15.233346,15.995888,17.106663,1,1
442027515,15.077198,15.077198,15.739804,15.490223,16.564762,1,1
442227506,14.932869,14.932869,15.584481,15.223649,16.276674,1,1
442427510,16.822632,16.822632,17.556776,15.089501,16.130238,1,1
442627500,16.07892,16.07892,16.776686,15.011517,16.044682,1,1
442827504,15.8761425,15.8761425,16.566952,15.0651455,16.100227,1,1
443027506,16.646915,16.646915,17.36764,16.53981,17.673967,1,1
443227504,16.623253,16.623253,17.34482,18.085588,19.323238,1,1
443427512,16.768524,16.768524,17.496508,20.065266,21.43719,1,1
443627504,17.902792,17.902792,18.675106,21.321047,22.775057,1,1
443827518,18.490679,18.490679,19.291382,22.612223,24.152344,1,1
444027499,17.658772,17.658772,18.419746,23.567476,25.170046,1,1
444227504,17.871658,17.871658,18.64487,24.19923,25.842876,1,1
444427504,18.239784,18.239784,19.026108,24.60891,26.279045,1,1
444627507,18.677422,18.677422,19.483572,24.943089,26.635141,1,1
444827540,17.906496,17.906496,18.68256,24.796717,26.477491,1,1
445027552,17.187366,17.187366,17.931103,25.082521,26.783535,1,1
445227499,16.466892,16.466892,17.181974,25.183256,26.888668,1,1
445427512,17.659536,17.659536,18.424103,24.710226,26.38327,1,1
445627643,16.79637,16.79637,17.524315,24.966171,26.655613,1,1
445827743,17.493864,17.493864,18.254189,24.77548,26.449266,1,1
446027511,17.219479,17.219479,17.965921,24.486649,26.140205,1,1
446227511,17.501392,17.501392,18.259779,24.337132,25.978983,1,1
446427530,17.835966,17.835966,18.60831,24.128653,25.753283,1,1
446627510,17.721134,17.721134,18.485302,24.23392,25.863663,1,1
446827499,17.547476,17.547476,18.303577,24.21241,25.837877,1,1
447027525,17.881145,17.881145,18.65266,24.23314,25.859821,1,1
447227518,18.056738,18.056738,18.834831,24.239628,25.863358,1,1
447427514,18.454123,18.454123,19.252531,24.114037,25.72791,1,1
