timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
648725139,-0.93496543,-0.967949,30.898876,1.0
648735859,-1.8176723,-1.8817958,30.898876,1.0
648746586,-2.3246872,-2.4066942,30.898876,1.0
648757545,-2.669146,-2.7633042,30.898876,1.0
648768393,-2.9444125,-3.0482812,30.898876,1.0
648779155,-3.09822,-3.2075145,30.898876,1.0
648790071,-3.0833087,-3.1920772,30.898876,1.0
648800890,-2.9316075,-3.0350244,30.898876,1.0
648811626,-2.7205784,-2.8165896,30.898876,1.0
648822560,-2.5435815,-2.6333463,30.898876,1.0
648833292,-2.4042313,-2.4890783,30.898876,1.0
648855061,-1.9850765,-2.055098,30.898876,1.0
648865781,-1.6978414,-1.757731,30.898876,1.0
648876511,-1.3722187,-1.4206222,30.898876,1.0
648887227,-0.8910417,-0.92247224,30.898876,1.0
648898020,0.8239449,0.8530087,30.898876,1.0
648908748,1.5098224,1.5630935,30.898876,1.0
648919735,1.8019905,1.8655703,30.898876,1.0
648930455,1.7829883,1.8458977,30.898876,1.0
648941173,1.4396759,1.4904722,30.898876,1.0
648952146,0.59562045,0.6166358,30.898876,1.0
648962890,-1.0321579,-1.0685756,30.898876,1.0
648973652,-1.4047832,-1.4543611,30.898876,1.0
648984631,-1.6286844,-1.6861641,30.898876,1.0
648995352,-1.7693129,-1.8317558,30.898876,1.0
649006073,-1.9008632,-1.9676324,30.801172,1.0
649016789,-2.015073,-2.085854,30.801172,1.0
649027720,-2.025834,-2.0969746,30.801172,1.0
649038465,-1.8256758,-1.8897876,30.801172,1.0
649049204,-1.2309817,-1.2742097,30.801172,1.0
649060228,0.69486535,0.7192667,30.801172,1.0
649070947,1.2950757,1.340571,30.801172,1.0
649081725,1.432881,1.4832175,30.801172,1.0
649092767,1.3689288,1.4170187,30.801172,1.0
649103506,1.1632549,1.204313,30.898876,1.0
649125236,-0.8454637,-0.8753052,30.898876,1.0
649135992,-1.361319,-1.4093698,30.898876,1.0
649146754,-1.7019851,-1.7620605,30.898876,1.0
649157765,-2.0933554,-2.1672451,30.898876,1.0
649168537,-2.455924,-2.5426114,30.898876,1.0
649179287,-2.6584249,-2.7522326,30.898876,1.0
649190267,-2.755276,-2.8525012,30.898876,1.0
649201025,-2.7831295,-2.8813374,30.898876,1.0
649211784,-2.7345662,-2.8306057,30.801172,1.0
649222996,-2.638298,-2.7309566,30.801172,1.0
649233713,-2.4804382,-2.5675848,30.801172,1.0
649244438,-2.2473145,-2.3262703,30.801172,1.0
649255282,-1.9616872,-2.0306082,30.801172,1.0
649266012,-1.6365808,-1.6940796,30.801172,1.0
649276824,-1.274102,-1.3188657,30.801172,1.0
649287771,-0.720856,-0.7461719,30.801172,1.0
649298551,0.7490577,0.775364,30.801172,1.0
649309418,1.0773934,1.1154099,30.898876,1.0
649320366,1.2554935,1.2997943,30.898876,1.0
649331121,1.4898738,1.5424448,30.898876,1.0
649341842,1.6585324,1.7170869,30.898876,1.0
649353025,1.7795863,1.8424146,30.898876,1.0
649363763,1.9723196,2.0419524,30.898876,1.0
649374483,2.1399603,2.2155116,30.898876,1.0
649385412,2.1054325,2.1797647,30.898876,1.0
649396127,1.8391285,1.9040233,30.898876,1.0
649406881,1.3552296,1.4030497,30.898876,1.0
649417853,0.3121211,0.32313448,30.898876,1.0
649428590,-1.2752258,-1.3202229,30.898876,1.0
649439324,-1.7892299,-1.852364,30.898876,1.0
649450054,-2.1341784,-2.2095034,30.898876,1.0
649460830,-2.3784735,-2.462421,30.898876,1.0
649471551,-2.5514781,-2.6415317,30.898876,1.0
649482412,-2.6385448,-2.7316713,30.898876,1.0
649493144,-2.602942,-2.6948118,30.898876,1.0
649503942,-2.4539146,-2.5405025,30.898876,1.0
649514913,-2.2282276,-2.3068519,30.898876,1.0
649525643,-1.9490486,-2.017822,30.898876,1.0
649536464,-1.7422764,-1.8037537,30.898876,1.0
649547453,-1.7731245,-1.8356903,30.898876,1.0
649558215,-1.9412007,-2.0097399,30.898876,1.0
649569066,-2.1133542,-2.1879718,30.898876,1.0
649579953,-2.3157017,-2.3974638,30.898876,1.0
649590676,-2.5535789,-2.6437397,30.898876,1.0
649601403,-2.7472024,-2.8441997,30.898876,1.0
649612131,-2.8634615,-2.9645636,30.898876,1.0
649623147,-2.9608092,-3.065368,30.898876,1.0
649633893,-3.0724728,-3.1809747,30.898876,1.0
649644619,-3.1497822,-3.2610142,30.898876,1.0
649655476,-3.199992,-3.312997,30.898876,1.0
649666193,-3.261307,-3.3764095,30.898876,1.0
649677035,-3.3241649,-3.4414856,30.898876,1.0
649688006,-3.413088,-3.5335474,30.898876,1.0
649698731,-3.5098245,-3.633698,30.898876,1.0
649709452,-3.5204535,-3.644702,30.898876,1.0
649720204,-3.420708,-3.5414011,30.898876,1.0
649730931,-3.2779627,-3.3936193,30.898876,1.0
649741663,-3.1414824,-3.2523236,30.898876,1.0
649752540,-2.9903247,-3.0958326,30.898876,1.0
649763268,-2.7770662,-2.8750496,30.898876,1.0
649773986,-2.4509435,-2.5374744,30.898876,1.0
649784723,-1.928851,-1.9969493,30.898876,1.0
649795676,-1.1155355,-1.154734,30.801172,1.0
649806402,0.9732245,1.0074224,30.801172,1.0
649817138,1.6674122,1.7260029,30.801172,1.0
649828083,2.0582032,2.1305285,30.801172,1.0
649838817,2.271736,2.351565,30.801172,1.0
649849626,2.2161536,2.2940292,30.801172,1.0
649860650,1.8748372,1.940719,30.801172,1.0
649871412,1.2914253,1.336806,30.801172,1.0
649882178,-0.8365028,-0.86588985,30.801172,1.0
649893243,-1.8393588,-1.903977,30.801172,1.0
649903968,-2.418021,-2.502968,30.801172,1.0
649914706,-2.8233762,-2.9225638,30.801172,1.0
649925621,-3.0823734,-3.1906598,30.801172,1.0
649947141,-3.1624155,-3.2735553,30.801172,1.0
649958138,-3.087366,-3.1958685,30.801172,1.0
649968889,-3.0109158,-3.1167314,30.801172,1.0
649979670,-2.909668,-3.0119252,30.801172,1.0
649990645,-2.767119,-2.8643734,30.801172,1.0
650001363,-2.6034946,-2.6954312,30.898876,1.0
650012102,-2.3549821,-2.438143,30.898876,1.0
650022829,-1.9510256,-2.0199218,30.898876,1.0
650033598,-1.5036551,-1.5567476,30.898876,1.0
650044313,-1.1590873,-1.2000135,30.898876,1.0
650055197,-0.7231678,-0.74870205,30.898876,1.0
650065941,0.61350435,0.6351665,30.898876,1.0
650076721,0.8379162,0.86750215,30.898876,1.0
650087455,0.5042494,0.5220539,30.898876,1.0
650098423,-0.80852425,-0.8369442,30.801172,1.0
650109154,-1.3356116,-1.3825588,30.801172,1.0
650119888,-1.7221274,-1.782661,30.801172,1.0
650130773,-2.0213313,-2.092382,30.801172,1.0
650141503,-2.2530522,-2.332248,30.801172,1.0
650152265,-2.4720452,-2.558929,30.801172,1.0
650163308,-2.7014878,-2.7964356,30.801172,1.0
650174042,-2.8775656,-2.9787018,30.801172,1.0
650184788,-2.974147,-3.078678,30.801172,1.0
650195742,-2.9526725,-3.0569396,30.898876,1.0
650206527,-2.7577446,-2.8551068,30.898876,1.0
650217306,-2.4461577,-2.5325193,30.898876,1.0
650228266,-2.0912719,-2.1651044,30.898876,1.0
650239002,-1.7028521,-1.7629714,30.898876,1.0
650249726,-1.1937165,-1.2358607,30.898876,1.0
650260454,0.37277454,0.3859359,30.898876,1.0
650271169,1.2784499,1.3235874,30.898876,1.0
650281964,1.7221708,1.7829746,30.898876,1.0
650293004,1.9250145,1.9929799,30.898876,1.0
650303722,1.8021184,1.8657448,30.898876,1.0
650314496,1.213129,1.2559665,30.898876,1.0
650336143,-2.065661,-2.1386027,30.898876,1.0
650346872,-2.6326997,-2.7256646,30.898876,1.0
