timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
460227280,460225159,-2.229516,0.07480431,-2.207006,-2.2631574,-2.2250257,-2.0051212,1.6487069,1.0512161,-2.701418,-1.6382828,1.0674686,4.7540617,9.912272,5.2248106,3.3478146,2.234352,44.092415,0.012122634,0.012122634,0.94550663,0.018125547,0.012122634
461227874,461225704,-2.0833745,0.070713006,-2.075901,-2.115099,-2.078599,-1.8659823,1.839328,-0.18477821,-3.5289793,-2.5139837,0.07173443,-4.0417852,9.205119,4.5747776,2.892416,2.607645,40.579567,0.011861826,0.011861826,0.9452896,0.019124974,0.011861826
463228868,463226789,-1.1646787,0.06293123,-1.1968646,-1.1936284,-1.1576755,-0.96163964,2.8540964,2.0382752,-0.36573815,0.5075853,2.0818439,-30.600807,9.053561,4.8892355,3.8746777,7.08025,22.301708,0.0114525715,0.0114525715,0.95154524,0.014097066,0.0114525715
464229425,464227332,-1.004441,0.05825224,-1.0569118,-1.0332419,-0.9963705,-0.80740094,3.073695,-0.31197262,-2.3603334,-1.6543288,-1.0993443,-35.557007,6.492674,3.1174154,2.3366556,6.057266,8.798809,0.011158258,0.011158258,0.9553669,0.011158258,0.011158258
465220312,465217881,-0.85768807,0.056357164,-0.92484015,-0.886618,-0.8489254,-0.66600907,-3.011382,0.7004347,-1.1674042,-0.56429386,-0.5254965,-34.212727,5.903463,3.1865234,2.553979,6.3017554,2.716712,0.01130006,0.01130006,0.9547997,0.01130006,0.01130006
466225670,466218405,-0.64416003,0.054342866,-0.72095716,-0.6727833,-0.6347982,-0.4575329,-2.7460759,0.04202366,-1.8101988,-1.364193,-2.0230732,-35.83461,4.3216257,2.242076,1.814393,5.8482804,-7.013221,0.011420222,0.011498966,0.9542403,0.011420222,0.011420222
467221185,467218925,-0.5992192,0.05429741,-0.6844818,-0.62826216,-0.5889506,-0.41734403,-2.6538236,-0.94074535,-2.6622534,-2.220868,-2.8146515,-34.920296,4.627236,2.9115863,2.544332,6.2406144,-6.144744,0.011945239,0.011945239,0.95221907,0.011945239,0.011945239
468222216,468219467,-0.5382433,0.055453364,-0.6301441,-0.5676189,-0.5270384,-0.3595257,-2.5597277,-1.6647491,-3.4406404,-3.1168575,-4.041087,-30.115757,4.5572586,3.0476842,2.6810365,5.84212,-8.141678,0.012613004,0.012613004,0.94954795,0.012613004,0.012613004
469226746,469219980,-0.457764,0.05555935,-0.553858,-0.48734152,-0.44590026,-0.2818058,-2.4490485,-2.3373833,-4.1837063,-3.9699335,-5.1748886,-26.603348,3.4485953,2.1019857,1.7515013,4.5411882,-11.085968,0.013117608,0.013012708,0.9478442,0.013012708,0.013012708
470222971,470220512,-0.49512234,0.055774204,-0.60020596,-0.5288476,-0.4824921,-0.3204152,-2.45757,-1.8686314,-3.6526155,-3.4506664,-4.58706,-23.576756,4.068867,2.8029897,2.4473412,4.903797,-9.090315,0.013514752,0.01349161,0.94613767,0.013427978,0.013427978
