timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
404692032,1627401613200097,386218734,-91532910,51877,100102,1.4230001,0.44515145,5.407,12.701,1.17,2.44,89,5,2.775,1.7340001,-2.167,-0.551,5.5022435,0,nan,0.0,3,0,1,8,0
404888332,1627401613400097,386218752,-91532946,51939,100164,1.6650001,0.4452541,5.414,12.725,1.17,2.44,89,11,1.261,0.485,-1.164,0.35200003,5.5022435,0,nan,0.0,3,0,1,8,0
405088361,1627401613600097,386218745,-91532973,51413,99638,1.8460001,0.4453677,5.427,12.739,1.17,2.44,89,11,0.402,-0.24100001,0.32200003,-1.3690001,5.5022435,0,nan,0.0,3,0,1,8,0
405288613,1627401613800097,386218753,-91532983,51407,99632,1.6680001,0.4454703,5.438,12.755001,1.17,2.44,89,11,0.9760001,0.92600006,-0.30800003,-0.83800006,5.5022435,0,nan,0.0,3,0,1,8,0
405489594,1627401614000097,386218755,-91532999,50747,98972,1.8140001,0.44558203,5.447,12.764001,1.17,2.44,89,11,0.70400006,0.39800003,0.58000004,-0.21400002,5.5022435,0,nan,0.0,3,0,1,8,0
405693437,1627401614200097,386218744,-91533002,50867,99093,1.7750001,0.4456913,5.447,12.750001,1.17,2.44,89,11,0.22700001,-0.035,-0.224,0.30600002,5.5022435,0,nan,0.0,3,0,1,8,0
405889449,1627401614400097,386218749,-91532988,50868,99094,1.5870001,0.445789,5.4490004,12.747001,1.17,2.44,89,20,1.2800001,0.87900007,0.93100005,0.87700003,5.5022435,0,nan,0.0,3,0,1,8,0
406090373,1627401614600097,386218748,-91532990,50646,98871,1.6880001,0.4458927,5.446,12.732,1.17,2.44,89,20,0.536,0.26200002,-0.467,0.777,5.5022435,0,nan,0.0,3,0,1,8,0
406289413,1627401614800097,386218744,-91533005,50025,98250,1.6530001,0.44599444,5.445,12.732,1.17,2.44,89,20,0.259,0.21700001,0.143,0.499,5.5022435,0,nan,0.0,3,0,1,8,0
406490010,1627401615000097,386218730,-91533025,49402,97628,1.715,0.44609988,5.431,12.688001,1.17,2.44,89,20,0.59900004,-0.35200003,-0.485,0.78900003,5.5022435,0,nan,0.0,3,0,1,8,0
406685686,1627401615200097,386218726,-91533041,49054,97280,1.531,0.44619393,5.426,12.674001,1.17,2.44,89,20,0.634,0.469,-0.42700002,0.342,5.5022435,0,nan,0.0,3,0,1,8,0
406890236,1627401615400097,386218730,-91533054,48483,96709,1.511,0.4462868,5.4240003,12.662001,1.17,2.44,89,23,0.74500006,0.703,0.246,0.30100003,5.5022435,0,nan,0.0,3,0,1,8,0
407090101,1627401615600097,386218727,-91533056,48427,96653,1.3840001,0.4463718,5.412,12.608001,1.17,2.44,89,23,0.45000002,-0.12200001,-0.43300003,0.23700002,5.5022435,0,nan,0.0,3,0,1,8,0
407286472,1627401615800097,386218728,-91533070,47778,96004,1.394,0.4464648,5.3950005,12.553,1.17,2.44,89,23,0.85600007,0.855,0.037,1.2490001,5.5022435,0,nan,0.0,3,0,1,8,0
407490417,1627401616000097,386218725,-91533066,48078,96304,1.363,0.44654843,5.386,12.562,1.17,2.44,89,23,0.934,-0.75200003,-0.554,0.33,5.5022435,0,nan,0.0,3,0,1,8,0
407888568,1627401616400097,386218698,-91533089,47378,95604,1.5610001,0.4467418,5.355,12.495001,1.17,2.44,89,4,0.18800001,0.063,0.177,1.1060001,5.5022435,0,nan,0.0,3,0,1,8,0
408088584,1627401616600097,386218711,-91533074,47822,96048,1.7820001,0.44685104,5.355,12.51,1.17,2.44,89,4,1.1520001,1.149,0.087000005,0.455,5.5022435,0,nan,0.0,3,0,1,8,0
408291424,1627401616800097,386218707,-91533071,47809,96035,1.4100001,0.44693762,5.348,12.499001,1.17,2.44,89,4,0.583,-0.56,0.162,0.61600006,5.5022435,0,nan,0.0,3,0,1,8,0
408491224,1627401617000097,386218709,-91533064,48618,96844,1.4150001,0.44702438,5.3440003,12.496,1.17,2.44,89,4,0.85800004,0.21200001,-0.83100003,0.19800001,5.5022435,0,nan,0.0,3,0,1,8,0
408691577,1627401617200097,386218715,-91533047,48977,97202,1.468,0.44712803,5.347,12.516001,1.17,2.44,89,4,1.307,0.411,1.241,1.069,5.5022435,0,nan,0.0,3,0,1,8,0
408889456,1627401617400097,386218705,-91533047,48847,97073,1.549,0.447223,5.3510003,12.502001,1.17,2.44,89,6,0.87600005,-0.841,-0.246,0.014,5.5022435,0,nan,0.0,3,0,1,8,0
409091776,1627401617600098,386218702,-91533027,49596,97822,1.4860001,0.44731408,5.36,12.516001,1.17,2.44,89,6,0.48900002,-0.089,0.48100004,0.56600004,5.5022435,0,nan,0.0,3,0,1,8,0
409286501,1627401617800098,386218700,-91533012,50334,98560,1.4070001,0.4474003,5.3690004,12.512001,1.17,2.44,89,6,0.44200003,-0.33100003,-0.29200003,-0.49500003,5.5022435,0,nan,0.0,3,0,1,8,0
409491751,1627401618000098,386218688,-91533005,50771,98997,1.554,0.44749543,5.381,12.52,1.17,2.44,89,6,0.87600005,-0.86600006,0.13700001,-0.162,5.5022435,0,nan,0.0,3,0,1,8,0
409689478,1627401618200098,386218665,-91533026,50240,98466,2.0370002,0.4476204,5.4030004,12.559001,1.17,2.44,89,6,1.32,-1.121,-0.697,0.397,5.5022435,0,nan,0.0,3,0,1,8,0
409892136,1627401618400098,386218637,-91533043,50451,98676,1.7,0.76797575,5.419,12.564,1.17,2.44,89,7,1.9950001,-1.7490001,-0.96000004,-0.753,5.030697,0,nan,0.0,3,0,1,8,0
410088722,1627401618600098,386218587,-91533047,50923,99148,1.7210001,0.47268403,5.427,12.562,1.17,2.44,89,7,3.1560001,-3.1560001,0.051000003,-1.8000001,3.6487942,0,nan,0.0,3,0,1,8,0
410287610,1627401618800098,386218543,-91533057,51363,99589,1.9790001,0.6225101,5.4440002,12.586,1.17,2.44,89,7,2.421,-2.246,-0.90400004,-0.809,3.6032524,0,nan,0.0,3,0,1,8,0
410487032,1627401619000098,386218541,-91533079,51078,99304,1.6710001,0.6225837,5.464,12.613001,1.17,2.44,89,7,0.97,0.90400004,-0.35000002,-1.08,3.6032524,0,nan,0.0,3,0,1,8,0
410687761,1627401619200098,386218547,-91533097,50908,99134,1.3970001,0.62264514,5.472,12.620001,1.17,2.44,89,7,0.52900004,0.15400001,-0.50600004,-0.26000002,3.6032524,0,nan,0.0,3,0,1,8,0
410889456,1627401619400098,386218546,-91533090,51166,99392,1.4230001,0.62270796,5.4830003,12.632001,1.17,2.44,89,4,0.624,-0.108,0.615,-0.16100001,3.6032524,0,nan,0.0,3,0,1,8,0
411093543,1627401619600098,386218543,-91533072,51548,99774,1.4610001,0.6227722,5.5020003,12.661,1.17,2.44,89,4,0.564,-0.201,0.527,-0.358,3.6032524,0,nan,0.0,3,0,1,8,0
411293331,1627401619800098,386218515,-91533083,51125,99351,1.9560001,0.62289506,5.5200005,12.686001,1.17,2.44,89,4,1.9290001,-1.8720001,0.46600002,-2.0140002,3.6032524,0,nan,0.0,3,0,1,8,0
411488645,1627401620000098,386218500,-91533085,50485,98711,1.9530001,0.62298095,5.55,12.7300005,1.17,2.44,89,4,0.813,-0.32500002,0.74500006,0.80300003,3.6032524,0,nan,0.0,3,0,1,8,0
411689627,1627401620200098,386218489,-91533120,49908,98133,1.8620001,0.62306297,5.5820003,12.776001,1.17,2.44,89,4,1.6350001,-0.53000003,-1.547,0.365,3.6032524,0,nan,0.0,3,0,1,8,0
411889420,1627401620400098,386218483,-91533124,49987,98212,1.6700001,0.62313646,5.602,12.795001,1.17,2.44,89,18,0.39900002,-0.071,0.393,0.36800003,3.6032524,0,nan,0.0,3,0,1,8,0
412088709,1627401620600098,386218482,-91533137,49867,98092,1.7370001,0.62321293,5.6190004,12.815001,1.17,2.44,89,18,0.72900003,0.13900001,-0.716,0.27,3.6032524,0,nan,0.0,3,0,1,8,0
412294039,1627401620800098,386218477,-91533127,50540,98766,1.4610001,0.6232771,5.6200004,12.8,1.17,2.44,89,18,0.326,-0.28300002,0.162,-0.619,3.6032524,0,nan,0.0,3,0,1,8,0
412489557,1627401621000098,386218483,-91533104,51170,99395,1.669,0.6233506,5.6270003,12.799001,1.17,2.44,89,18,0.82600003,0.453,0.69100004,-0.597,3.6032524,0,nan,0.0,3,0,1,8,0
412694575,1627401621200098,386218491,-91533075,51986,100211,1.6500001,0.6234232,5.635,12.807,1.17,2.44,89,18,0.49500003,0.067,0.49,-0.467,3.6032524,0,nan,0.0,3,0,1,8,0
412892415,1627401621400098,386218498,-91533048,52752,100978,1.71,0.62349844,5.6450005,12.81,1.17,2.44,89,6,0.71300006,0.36200002,0.614,-1.1270001,3.6032524,0,nan,0.0,3,0,1,8,0
413089443,1627401621600098,386218512,-91533036,53029,101255,1.723,0.6235754,5.6590004,12.842001,1.17,2.44,89,6,1.0960001,0.99300003,0.46400002,-1.365,3.6032524,0,nan,0.0,3,0,1,8,0
413289590,1627401621800098,386218501,-91533030,53218,101444,1.8870001,0.6236583,5.6800003,12.876,1.17,2.44,89,6,1.3620001,-1.3590001,0.09,0.021000002,3.6032524,0,nan,0.0,3,0,1,8,0
413489523,1627401622000098,386218485,-91533025,53261,101487,1.9650002,0.6237447,5.7050004,12.9210005,1.17,2.44,89,6,0.79200006,-0.768,0.19500001,-0.646,3.6032524,0,nan,0.0,3,0,1,8,0
413690439,1627401622200098,386218485,-91533014,53164,101390,1.8140001,0.6238243,5.7260003,12.948001,1.17,2.44,89,6,0.75500005,0.15,0.74,-0.48700002,3.6032524,0,nan,0.0,3,0,1,8,0
413889608,1627401622400098,386218489,-91533006,53401,101627,1.6800001,0.6238983,5.7450004,12.9800005,1.17,2.44,89,8,0.30200002,0.28800002,-0.09200001,-0.711,3.6032524,0,nan,0.0,3,0,1,8,0
