timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
399613438,399611146,0,nan,nan,-0.005601256,-0.006476016,-0.15215847,0.0,0.0,0.0,-0.011174499,-0.0061648753,0.10492158,0.021196885,-0.00071485934,-0.0009356753,0.0,0.06754591,0.03453601,0.08304676,-0.21935216,-2.2562287,nan,0.1,0.0939708,0.48477346,0.10349517,0.113639936,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
399713253,399711228,0,nan,nan,-0.006073893,-0.00640078,-0.1469698,0.0,0.0,0.0,-0.007018156,-0.007887912,0.10264377,0.022227366,-0.00071485934,-0.0009356753,0.0,0.0020545635,-0.20474091,0.079083234,-0.22030951,-2.2562287,nan,0.1,0.10255527,0.48411852,0.10835191,0.113550425,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
399813386,399811310,0,nan,nan,-0.0066824886,-0.0072385166,-0.14254053,0.0,0.0,0.0,-0.009565791,-0.013890758,0.102112174,0.024091845,-0.00071485934,-0.0009356753,0.0,-0.045225576,-0.1663957,0.08581392,-0.21987154,-2.2562287,nan,0.1,0.110475264,0.4834729,0.11236351,0.11346236,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
399913652,399911407,0,nan,nan,-0.0075853583,-0.008501899,-0.13742469,0.0,0.0,0.0,-0.010623518,-0.0082033025,0.10215978,0.027027974,-0.00071485934,-0.0009356753,0.0,-0.005042914,0.18114717,0.024813224,-0.21808948,-2.2562287,nan,0.1,0.12016864,0.48281994,0.11729153,0.11337279,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
400213773,400211643,0,nan,nan,-0.01067525,-0.01094062,-0.116700314,0.0,0.0,0.0,-0.012452318,-0.009383916,0.10305233,0.039387114,-0.00071485934,-0.0009356753,0.0,-0.059853975,0.050734647,0.06137589,-0.21676856,-2.2562287,nan,0.1,0.14725864,0.48552015,0.12882191,0.113737434,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
400413570,400411808,0,nan,nan,-0.013079289,-0.01178237,-0.110311165,0.0,0.0,0.0,-0.014170686,-0.010406343,0.09966289,0.03504058,-0.00071485934,-0.0009356753,0.0,-0.049823627,-0.087279536,0.043879777,-0.22114195,-2.2562287,nan,0.1,0.16643323,0.48424172,0.13608629,0.11356561,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
400513627,400511894,0,nan,nan,-0.014298962,-0.012934691,-0.10800999,0.0,0.0,0.0,-0.0126712145,-0.01362554,0.09928304,0.033537965,-0.00071485934,-0.0009356753,0.0,0.022523487,0.011901274,0.12211124,-0.21888082,-2.2562287,nan,0.1,0.17878231,0.4835912,0.14119637,0.11347671,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
400614024,400611970,0,nan,nan,-0.015248203,-0.013779591,-0.10723819,0.0,0.0,0.0,-0.01321708,-0.010679517,0.09812681,0.030034753,-0.00071485934,-0.0009356753,0.0,-0.071510755,-0.17260426,0.08364062,-0.21756552,-2.2562287,nan,0.1,0.18534145,0.48294964,0.14248995,0.11338953,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
400714282,400712048,0,nan,nan,-0.01643741,-0.014787941,-0.10744144,0.0,0.0,0.0,-0.0145074455,-0.010669412,0.09702409,0.025909353,-0.00071485934,-0.0009356753,0.0,0.026134694,-0.033460315,0.026381992,-0.22032993,-2.2562287,nan,0.1,0.19834638,0.4823007,0.14763303,0.11330054,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
400814509,400812129,0,nan,nan,-0.017364092,-0.015635027,-0.106129974,0.0,0.0,0.0,-0.011579995,-0.009720426,0.0951991,0.023065113,-0.00071485934,-0.0009356753,0.0,0.008626172,0.038586535,0.030230537,-0.21776539,-2.2562287,nan,0.1,0.20340295,0.48166093,0.14789239,0.113213606,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
