timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
398479072,398473798,1114122,0.18264063,0.035819486,0.35381037,2
398501350,398495499,1114122,0.18419358,0.03832443,0.35331082,2
398521452,398516321,1114122,0.18311907,0.03788358,0.35330316,2
398542359,398537044,1114122,0.18276155,0.03605084,0.35296687,2
398563870,398558270,1114122,0.18391603,0.03605374,0.3527462,2
398584020,398578831,1114122,0.18506807,0.03670057,0.35387075,2
398605399,398600060,1114122,0.18395427,0.03666728,0.35360092,2
398627411,398621858,1114122,0.18495056,0.038881782,0.35282922,2
398648956,398643338,1114122,0.18256404,0.03547345,0.35215694,2
398669459,398664109,1114122,0.18363562,0.037547216,0.3537454,2
398690502,398685105,1114122,0.18399301,0.03981962,0.35417646,2
398711526,398706429,1114122,0.18451181,0.036817096,0.35338104,2
398741521,398731448,1114122,0.18416272,0.036685497,0.3484026,2
398761813,398756600,1114122,0.18483719,0.038703993,0.3495291,2
398782809,398777518,1114122,0.18423353,0.038435787,0.35322323,2
398804070,398798965,1114122,0.18431868,0.036858566,0.35017276,2
398824801,398819489,1114122,0.18447888,0.03517565,0.34961653,2
398846621,398840891,1114122,0.18439063,0.0373922,0.35436863,2
398909180,398904062,1114122,0.18486899,0.03592854,0.35390496,2
398929816,398924490,1114122,0.18498841,0.035965282,0.35390568,2
398951747,398945930,1114122,0.18335791,0.03601008,0.35327938,2
398971830,398966689,1114122,0.18475017,0.036961168,0.35360616,2
398992819,398987490,1114122,0.18487093,0.037889354,0.3528608,2
399014854,399009459,1114122,0.18530959,0.037307914,0.3523639,2
399036766,399030998,1114122,0.18491063,0.0383296,0.35291114,2
399056853,399051742,1114122,0.18379492,0.03710697,0.35369545,2
399077867,399072541,1114122,0.18324415,0.034837544,0.3501892,2
399099496,399094251,1114122,0.1842383,0.035824224,0.35060483,2
399130422,399119619,1114122,0.18407872,0.033788256,0.35083076,2
399151870,399146284,1114122,0.1839934,0.03596471,0.3539484,2
399171892,399166796,1114122,0.18387598,0.035647914,0.3528746,2
399192356,399187063,1114122,0.18419752,0.037176527,0.351157,2
399213395,399207993,1114122,0.18554874,0.037825108,0.35214823,2
399234433,399229314,1114122,0.18535091,0.034820262,0.35152972,2
399255306,399249990,1114122,0.18241164,0.031149138,0.34844664,2
399298466,399293048,1114122,0.18363485,0.036035307,0.35417145,2
399340354,399335039,1114122,0.18415676,0.038455933,0.35166365,2
399362079,399356356,1114122,0.18374291,0.03204846,0.3385678,2
399382104,399376959,1114122,0.18428107,0.03753537,0.34897825,2
399412841,399402237,1114122,0.18440038,0.036138654,0.34901983,2
399434660,399428883,1114122,0.18364516,0.03640233,0.34851682,2
399464649,399454540,1114122,0.1833626,0.03548002,0.35070276,2
399485305,399479951,1114122,0.18236996,0.03517739,0.34947902,2
399507257,399501406,1114122,0.18504213,0.03595356,0.3462854,2
399527282,399522139,1114122,0.18439724,0.03343411,0.35075247,2
399548266,399542942,1114122,0.18372262,0.03429285,0.34969288,2
399569774,399564646,1114122,0.18459982,0.034268215,0.34875834,2
399590256,399584985,1114122,0.18456332,0.03282182,0.34695703,2
399612323,399606404,1114122,0.18431985,0.035397228,0.34952998,2
399642756,399632345,1114122,0.18487588,0.03365016,0.35014713,2
399663837,399658446,1114122,0.18250108,0.031071898,0.34305373,2
399684972,399679779,1114122,0.18368068,0.035416663,0.35086593,2
399705756,399700267,1114122,0.18404208,0.03635811,0.34909627,2
399727298,399721736,1114122,0.18352272,0.03505797,0.35019258,2
399747755,399742472,1114122,0.18332265,0.033653945,0.35079795,2
399768753,399763450,1114122,0.18365493,0.036104083,0.34316546,2
399790020,399784853,1114122,0.1843594,0.035762846,0.34966847,2
399810759,399805471,1114122,0.18431851,0.036379866,0.35025567,2
399832438,399826762,1114122,0.18399993,0.035276063,0.35037452,2
399852828,399847516,1114122,0.18360075,0.035193965,0.35104114,2
399873755,399868439,1114122,0.18244603,0.032911174,0.3514106,2
399894975,399889879,1114122,0.18371862,0.034374833,0.35187745,2
399914992,399909897,1114122,0.18471955,0.03338886,0.34856892,2
400210247,400205138,1114122,0.18340528,0.032683395,0.3491367,2
400230787,400225440,1114122,0.18348226,0.032003716,0.35055405,2
400251800,400246447,1114122,0.18455613,0.034277283,0.35089737,2
400272750,400267669,1114122,0.18324243,0.03552343,0.35113388,2
400335528,400330307,1114122,0.184437,0.036373526,0.350746,2
400356807,400351445,1114122,0.18352336,0.035503402,0.34984183,2
400377847,400372760,1114122,0.18198538,0.03104667,0.3421612,2
400398846,400393437,1114122,0.18471721,0.036936074,0.34986252,2
400420474,400414764,1114122,0.18459839,0.03635235,0.34954286,2
400441910,400436492,1114122,0.18396075,0.036750108,0.350037,2
400463938,400458345,1114122,0.18312222,0.03672993,0.3515949,2
400485543,400479853,1114122,0.18412699,0.034926113,0.34618133,2
400507031,400501595,1114122,0.18384154,0.033738367,0.3499533,2
400528003,400522905,1114122,0.18371838,0.035291497,0.352023,2
400548956,400543595,1114122,0.18292952,0.033063427,0.3481604,2
400570560,400564902,1114122,0.18443614,0.035816163,0.35122895,2
400590902,400585653,1114122,0.18483683,0.036901075,0.34972858,2
400611936,400606595,1114122,0.18440056,0.03687471,0.34892535,2
400633072,400628000,1114122,0.18487616,0.036824144,0.34999508,2
400653952,400648628,1114122,0.18336475,0.03444209,0.3495159,2
400675819,400670006,1114122,0.1842342,0.03432543,0.35285816,2
400697130,400691659,1114122,0.18480821,0.032424197,0.34361017,2
400718137,400713054,1114122,0.1817065,0.026892684,0.3423298,2
400738959,400733646,1114122,0.18321702,0.02915876,0.34325314,2
400760704,400755013,1114122,0.18295664,0.026164684,0.3332765,2
400780837,400775654,1114122,0.18542844,0.03561405,0.3526542,2
400801957,400796647,1114122,0.18594593,0.037525445,0.3525907,2
400824002,400818570,1114122,0.18547113,0.036810316,0.35106546,2
401077143,401071758,1114122,0.18490809,0.035666212,0.3543027,2
401099101,401093704,1114122,0.18538634,0.03692039,0.35391873,2
401121018,401115210,1114122,0.18578723,0.035949275,0.35230267,2
401141107,401135967,1114122,0.18610218,0.036255717,0.35417882,2
401162109,401156795,1114122,0.18455586,0.038427252,0.35104015,2
401184158,401178818,1114122,0.1869865,0.039000183,0.34935862,2
401206163,401200288,1114122,0.18567042,0.03758408,0.35089758,2
401226177,401221028,1114122,0.18471253,0.038776774,0.35242635,2
401247159,401241839,1114122,0.18538713,0.037403718,0.3534794,2
401268629,401263505,1114122,0.18471122,0.039134905,0.35314402,2
401289162,401283840,1114122,0.18392259,0.03676161,0.34914583,2
401341260,401331097,1114122,0.18590936,0.03782993,0.35082692,2
401362743,401357350,1114122,0.18487942,0.03559819,0.34819672,2
401384803,401379182,1114122,0.18542519,0.035554267,0.35443592,2
401406265,401401098,1114122,0.18372728,0.03432567,0.34715325,2
401426714,401421396,1114122,0.18543056,0.0359229,0.35149956,2
401447749,401442397,1114122,0.184948,0.036842898,0.35422885,2
401469783,401464193,1114122,0.18435144,0.0362207,0.35404152,2
401491328,401485691,1114122,0.1839956,0.03733948,0.352763,2
401511756,401506457,1114122,0.18527128,0.036693778,0.3515538,2
401532801,401527444,1114122,0.18527141,0.03827457,0.35148507,2
401554829,401549240,1114122,0.18483159,0.038003013,0.35259485,2
401576418,401570754,1114122,0.18566683,0.037962828,0.35286325,2
401596842,401591568,1114122,0.18515193,0.036253534,0.3515033,2
401617872,401612492,1114122,0.18451408,0.03348972,0.35213488,2
401638906,401633820,1114122,0.18559021,0.03802087,0.351215,2
401659808,401654493,1114122,0.1842341,0.037301,0.35289663,2
401681640,401675843,1114122,0.1845926,0.03855233,0.3527352,2
401702913,401697567,1114122,0.18475384,0.03702382,0.35160166,2
401724905,401719427,1114122,0.1834915,0.03401638,0.3455,2
401746561,401740880,1114122,0.18475023,0.03747604,0.35356826,2
401766905,401761668,1114122,0.18491018,0.036342423,0.35315284,2
401787915,401782605,1114122,0.18447106,0.036112223,0.35390663,2
401809139,401804012,1114122,0.18479022,0.03637514,0.35346496,2
401829908,401824592,1114122,0.18451875,0.03543338,0.34957534,2
401851674,401845917,1114122,0.18320717,0.033240773,0.34865338,2
401871696,401866517,1114122,0.18391828,0.03669435,0.35150677,2
401891861,401886688,1114122,0.1830854,0.0370084,0.3499496,2
401912856,401907542,1114122,0.18371964,0.036586452,0.35132676,2
401934284,401929113,1114122,0.1845493,0.037425473,0.35463673,2
401954851,401949537,1114122,0.18491203,0.037972026,0.35214898,2
401976681,401970920,1114122,0.1853872,0.038763527,0.35345238,2
401996886,401991743,1114122,0.18610905,0.03817819,0.3504159,2
402017866,402012542,1114122,0.18388994,0.03401982,0.34523338,2
402039305,402034187,1114122,0.1854695,0.037423305,0.35196462,2
402059857,402054542,1114122,0.18399316,0.03585276,0.35408062,2
402081766,402075959,1114122,0.1835565,0.037183307,0.3534732,2
402102011,402096741,1114122,0.18411067,0.0366477,0.35511607,2
402122856,402117540,1114122,0.18570992,0.03625929,0.35105878,2
402144299,402139210,1114122,0.18526956,0.035800032,0.35247803,2
402164886,402159589,1114122,0.18458933,0.03592048,0.35452822,2
402187083,402181075,1114122,0.18435374,0.0389191,0.3527841,2
402207906,402202591,1114122,0.18360198,0.035863835,0.35038137,2
402229354,402224273,1114122,0.18487392,0.037580032,0.351208,2
402250008,402244617,1114122,0.18506661,0.038160197,0.35464722,2
402271961,402266067,1114122,0.18371427,0.03731989,0.35427737,2
402292953,402287402,1114122,0.18415087,0.03646691,0.354891,2
402314640,402309424,1114122,0.1846714,0.036783263,0.3531581,2
402337047,402331163,1114122,0.18408322,0.034457065,0.34835875,2
402357053,402351913,1114122,0.18514968,0.036898635,0.35275942,2
402378026,402372725,1114122,0.18491264,0.03643318,0.35181713,2
402399523,402394439,1114122,0.18391624,0.03682691,0.3526225,2
402419542,402414475,1114122,0.1852686,0.03704212,0.35302883,2
402439951,402434689,1114122,0.18558842,0.035178974,0.35220322,2
402460963,402455650,1114122,0.18387169,0.034845933,0.35522604,2
402482135,402476997,1114122,0.18394965,0.035862993,0.35613054,2
402502955,402497642,1114122,0.18351685,0.035053216,0.35340098,2
402524670,402518990,1114122,0.18474637,0.03605245,0.35568887,2
402544984,402539808,1114122,0.18384442,0.0347877,0.34836262,2
402565990,402560658,1114122,0.1851164,0.037165128,0.3491978,2
402587173,402582058,1114122,0.18551235,0.038290106,0.35028255,2
402607951,402602641,1114122,0.18464357,0.03598626,0.34659705,2
402629692,402624011,1114122,0.1830476,0.032246023,0.34886307,2
402650003,402644767,1114122,0.18391292,0.038052283,0.35446543,2
402670959,402665651,1114122,0.18395144,0.035361383,0.35514373,2
