timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
45347969,45347945,2228234,0.0085521145,0.023212882,0.023212882,35.0,0
45447701,45447685,2228234,0.01954769,0.024434611,0.029321535,35.0,0
45547794,45547754,2228234,0.0085521145,0.026878074,0.024434611,35.0,0
45647763,45647744,2228234,0.014660767,0.024434611,0.02199115,35.0,0
45745253,45745236,2228234,0.006108653,0.023212882,0.017104229,35.0,0
45846331,45846308,2228234,0.010995575,0.01954769,0.010995575,35.0,0
46348052,46348036,2228234,0.017104229,0.03909538,0.030543266,35.0,0
46548269,46548245,2228234,0.015882498,0.03543019,0.024434611,35.0,0
46648203,46648187,2228234,0.012217306,0.028099803,0.025656343,35.0,0
46747228,46747201,2228234,0.023212882,0.025656343,0.020769421,35.0,0
46847338,46847311,2228234,0.017104229,0.026878074,0.029321535,35.0,0
46948406,46948375,2228234,0.012217306,0.04031711,0.025656343,35.0,0
47048424,47048405,2228234,0.0048869224,0.028099803,0.01954769,35.0,0
47144754,47144737,2228234,0.01954769,0.026878074,0.029321535,35.0,0
47446499,47446483,2228234,0.012217306,0.029321535,0.024434611,35.0,0
47548749,47548713,2228234,0.01954769,0.032986727,0.025656343,35.0,0
48647678,48647659,2228234,0.013439037,0.029321535,0.034208458,35.0,0
48747113,48747088,2228234,0.020769421,0.026878074,0.020769421,35.0,0
48849228,48849210,2228234,0.015882498,0.01954769,0.028099803,35.0,0
49347682,49347659,2228234,0.009773845,0.03543019,0.026878074,35.0,0
49748061,49748044,2228234,0.020769421,0.026878074,0.029321535,36.0,0
49947235,49947213,2228234,0.025656343,0.031764995,0.01954769,36.0,0
50048378,50048362,2228234,0.03543019,0.02199115,0.024434611,36.0,0
50147746,50147729,2228234,0.010995575,0.045204032,0.01954769,36.0,0
50246421,50246405,2228234,0.017104229,0.029321535,0.023212882,36.0,0
50347520,50347497,2228234,0.018325958,0.024434611,0.025656343,36.0,0
51046505,51046489,2228234,0.014660767,0.03909538,0.020769421,36.0,0
51147923,51147900,2228234,0.015882498,0.030543266,0.020769421,36.0,0
51246702,51246686,2228234,0.0048869224,0.031764995,0.030543266,36.0,0
51346802,51346786,2228234,0.018325958,0.024434611,0.024434611,36.0,0
51547010,51546994,2228234,0.02199115,0.029321535,0.02199115,36.0,0
51746487,51746471,2228234,0.012217306,0.01954769,0.026878074,36.0,0
51848149,51848133,2228234,0.014660767,0.03909538,0.023212882,36.0,0
51945754,51945729,2228234,0.0085521145,0.037873648,0.030543266,36.0,0
52046790,52046771,2228234,0.014660767,0.026878074,0.028099803,36.0,0
52148346,52148322,2228234,0.0,0.032986727,0.026878074,36.0,0
52248424,52248401,2228234,0.012217306,0.020769421,0.018325958,36.0,0
52646105,52646068,2228234,0.0012217306,0.031764995,0.025656343,36.0,0
52747487,52747471,2228234,0.018325958,0.026878074,0.020769421,36.0,0
52848627,52848611,2228234,0.020769421,0.023212882,0.025656343,36.0,0
53148854,53148830,2228234,0.015882498,0.02199115,0.02199115,36.0,0
53248897,53248873,2228234,0.026878074,0.041538842,0.023212882,36.0,0
53849103,53849087,2228234,0.0085521145,0.028099803,0.020769421,36.0,0
53949207,53949181,2228234,0.017104229,0.032986727,0.024434611,36.0,0
54046776,54046750,2228234,0.015882498,0.031764995,0.023212882,35.0,0
54149247,54149231,2228234,0.018325958,0.041538842,0.02199115,35.0,0
54249386,54249343,2228234,0.013439037,0.026878074,0.020769421,35.0,0
54348375,54348358,2228234,0.018325958,0.026878074,0.01954769,35.0,0
54745911,54745894,2228234,0.012217306,0.026878074,0.015882498,35.0,0
54947560,54947535,2228234,0.01954769,0.03543019,0.023212882,35.0,0
55549968,55549950,2228234,0.012217306,0.046425764,0.028099803,36.0,0
55649994,55649977,2228234,0.017104229,0.030543266,0.030543266,36.0,0
55950110,55950094,2228234,0.02199115,0.025656343,0.02199115,36.0,0
56146615,56146592,2228234,0.013439037,0.029321535,0.023212882,35.0,0
56748012,56747996,2228234,0.018325958,0.023212882,0.032986727,35.0,0
57948566,57948550,2228234,0.018325958,0.023212882,0.024434611,36.0,0
58048633,58048617,2228234,0.02199115,0.034208458,0.02199115,36.0,0
58146205,58146188,2228234,0.024434611,0.031764995,0.030543266,36.0,0
58248745,58248725,2228234,0.023212882,0.029321535,0.020769421,36.0,0
58348769,58348747,2228234,0.017104229,0.028099803,0.034208458,36.0,0
58947969,58947953,2228234,0.01954769,0.017104229,0.025656343,36.0,0
59148166,59148149,2228234,0.018325958,0.025656343,0.023212882,36.0,0
59347651,59347634,2228234,0.01954769,0.02199115,0.024434611,36.0,0
59647956,59647937,2228234,0.0073303836,0.02199115,0.020769421,36.0,0
59747379,59747359,2228234,0.013439037,0.030543266,0.028099803,36.0,0
60147736,60147719,2228234,0.0048869224,0.024434611,0.023212882,36.0,0
60244708,60244692,2228234,0.023212882,0.03543019,0.026878074,36.0,0
60348693,60348676,2228234,0.015882498,0.031764995,0.025656343,36.0,0
60448050,60448032,2228234,0.01954769,0.046425764,0.023212882,36.0,0
60547408,60547371,2228234,0.014660767,0.029321535,0.025656343,36.0,0
60648960,60648940,2228234,0.017104229,0.024434611,0.025656343,36.0,0
60946411,60946388,2228234,0.015882498,0.029321535,0.034208458,36.0,0
61645383,61645357,2228234,0.018325958,0.026878074,0.020769421,36.0,0
61748062,61748038,2228234,0.01954769,0.020769421,0.01954769,36.0,0
61848046,61848023,2228234,0.009773845,0.028099803,0.024434611,36.0,0
62245688,62245672,2228234,0.013439037,0.028099803,0.02199115,36.0,0
62448442,62448417,2228234,0.018325958,0.029321535,0.030543266,36.0,0
62547290,62547274,2228234,0.017104229,0.024434611,0.025656343,36.0,0
62748453,62748434,2228234,0.015882498,0.023212882,0.024434611,36.0,0
62848482,62848466,2228234,0.029321535,0.028099803,0.017104229,36.0,0
62948510,62948494,2228234,0.010995575,0.031764995,0.028099803,36.0,0
63148720,63148697,2228234,0.017104229,0.034208458,0.020769421,36.0,0
63448884,63448860,2228234,0.030543266,0.026878074,0.017104229,36.0,0
63548931,63548907,2228234,0.012217306,0.029321535,0.020769421,36.0,0
63849048,63849025,2228234,0.014660767,0.029321535,0.03543019,36.0,0
64046562,64046546,2228234,0.025656343,0.031764995,0.029321535,36.0,0
64449231,64449206,2228234,0.020769421,0.030543266,0.01954769,36.0,0
65148453,65148437,2228234,0.0024434612,0.029321535,0.025656343,36.0,0
65249808,65249782,2228234,0.015882498,0.030543266,0.02199115,36.0,0
65348701,65348678,2228234,0.017104229,0.037873648,0.030543266,36.0,0
65848488,65848462,2228234,0.013439037,0.031764995,0.01954769,36.0,0
65948546,65948529,2228234,0.015882498,0.023212882,0.02199115,36.0,0
66050021,66050005,2228234,0.0085521145,0.03543019,0.025656343,36.0,0
66547876,66547852,2228234,0.017104229,0.025656343,0.031764995,36.0,0
66645659,66645643,2228234,0.009773845,0.037873648,0.024434611,36.0,0
66745377,66745351,2228234,0.009773845,0.037873648,0.032986727,36.0,0
66848066,66848043,2228234,0.02199115,0.029321535,0.017104229,36.0,0
67248233,67248209,2228234,0.01954769,0.03543019,0.034208458,36.0,0
67748368,67748351,2228234,0.01954769,0.028099803,0.020769421,36.0,0
67845888,67845872,2228234,0.0073303836,0.037873648,0.023212882,36.0,0
67948465,67948448,2228234,0.026878074,0.024434611,0.01954769,36.0,0
68048521,68048505,2228234,0.017104229,0.032986727,0.025656343,36.0,0
68146040,68146024,2228234,0.036651917,0.028099803,0.024434611,36.0,0
68248756,68248732,2228234,0.025656343,0.02199115,0.023212882,36.0,0
68447474,68447451,2228234,0.013439037,0.041538842,0.023212882,36.0,0
68547575,68547552,2228234,0.02199115,0.030543266,0.02199115,36.0,0
68844997,68844981,2228234,0.01954769,0.030543266,0.029321535,36.0,0
68947281,68947251,2228234,0.020769421,0.036651917,0.032986727,37.0,0
69047384,69047367,2228234,0.01954769,0.031764995,0.032986727,37.0,0
69145300,69145284,2228234,0.0085521145,0.0439823,0.030543266,37.0,0
69449217,69449201,2228234,0.015882498,0.025656343,0.030543266,37.0,0
69547877,69547861,2228234,0.012217306,0.023212882,0.020769421,37.0,0
69647943,69647927,2228234,0.023212882,0.04031711,0.02199115,37.0,0
70047628,70047612,2228234,0.025656343,0.024434611,0.023212882,36.0,0
70448031,70448015,2228234,0.0073303836,0.032986727,0.025656343,36.0,0
