timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
45835331,0.35511258,0.03166047,-0.061659813
45845331,0.35362348,0.031034674,-0.06427636
45855400,0.35428324,0.030544154,-0.063660406
45865435,0.35494694,0.03179349,-0.06200646
45876437,0.35355026,0.03127805,-0.06197952
45886923,0.35477412,0.031332776,-0.06420783
45960415,0.3540324,0.030571518,-0.064771205
45970911,0.35476837,0.030016916,-0.06569069
45981388,0.3546897,0.030571518,-0.06477376
45991924,0.35510775,0.03072347,-0.06290218
46002938,0.3549374,0.031248456,-0.064461246
46012944,0.35403195,0.031230656,-0.064884156
46023392,0.35428646,0.03116883,-0.06283216
46033895,0.35534826,0.031174814,-0.06445977
46044472,0.35469025,0.031167695,-0.06462779
46075911,0.3544414,0.031658214,-0.06524532
46086453,0.35559008,0.031124976,-0.0656547
46096897,0.35510093,0.031830408,-0.06465705
46128393,0.35428038,0.029849416,-0.0644003
46138916,0.35354346,0.032164104,-0.06372515
46149416,0.35477614,0.03113323,-0.06368691
46180901,0.35493246,0.030974155,-0.06573129
46191397,0.35378924,0.03023894,-0.06390205
46201897,0.35568124,0.031221094,-0.06335235
46233058,0.35452566,0.030869614,-0.064700134
46243927,0.3544432,0.030792417,-0.06478202
46298028,0.35411444,0.031160576,-0.06479611
46308100,0.35460487,0.030469397,-0.06545264
46318443,0.3541132,0.030630913,-0.065115735
46350620,0.35435948,0.032103587,-0.06517816
46360655,0.35485253,0.031735413,-0.06516471
46370938,0.35346007,0.031487156,-0.06403831
46423148,0.35312688,0.030848255,-0.065206416
46433165,0.35420093,0.031059593,-0.0636816
46443420,0.35410768,0.02990768,-0.0665379
46496954,0.3534541,0.031423077,-0.06557341
46508130,0.35345095,0.030430237,-0.0663863
46518179,0.3544369,0.030724777,-0.06640242
46538958,0.35402405,0.031071577,-0.066927895
46549452,0.3553468,0.03174965,-0.06482548
46560691,0.3547732,0.030880293,-0.06444524
46601944,0.3539426,0.030563273,-0.0667355
46613178,0.3550211,0.03207623,-0.06406896
46623254,0.3548553,0.031101191,-0.06445479
46643959,0.3548492,0.03199435,-0.06602985
46654452,0.3546875,0.03180193,-0.06533772
46698259,0.35477057,0.030704536,-0.06512136
46708293,0.35410908,0.031619057,-0.066182174
46718501,0.35461187,0.030470517,-0.0636586
46739499,0.3537806,0.032579865,-0.06613558
46750738,0.35378662,0.032202132,-0.06458202
46803297,0.35419613,0.03204063,-0.06491861
46813337,0.35460842,0.031318534,-0.06454833
46823495,0.3541081,0.031387478,-0.0664288
46844546,0.35418862,0.03136968,-0.06685554
46855808,0.3546062,0.030557279,-0.06511458
46929553,0.35378817,0.030743694,-0.06417941
46940929,0.35435867,0.030914757,-0.06538484
46951597,0.3542827,0.031792372,-0.063797936
46973407,0.35444453,0.03272469,-0.06443552
46983418,0.35476875,0.031570353,-0.06558466
46993420,0.35501793,0.031157015,-0.06488491
47046100,0.35428122,0.030743694,-0.06418132
47056639,0.35468987,0.03138505,-0.064722285
47067111,0.35403407,0.032654624,-0.06434557
47088465,0.35502148,0.031711612,-0.0639683
47098506,0.35518125,0.031072713,-0.065138325
47163477,0.35419363,0.031054914,-0.065560915
47173504,0.35452628,0.031244896,-0.06454493
47183652,0.35550362,0.031005073,-0.066759996
47194178,0.35345954,0.030817335,-0.06418121
47204693,0.3544448,0.031178376,-0.064370975
47278543,0.3546057,0.031658214,-0.06524596
47288688,0.3535408,0.030217579,-0.064412795
47299155,0.35337386,0.032107145,-0.06508906
47331694,0.3544427,0.031746093,-0.06490727
47342203,0.35493731,0.03183753,-0.06448584
47427312,0.35534084,0.031832848,-0.066366754
47438566,0.3541992,0.031483594,-0.06412646
47448733,0.35427514,0.031415958,-0.06574717
47458740,0.35394862,0.032398123,-0.06518886
47479741,0.35567257,0.03134945,-0.06557895
47491104,0.3540308,0.03040644,-0.06519148
47554306,0.35378376,0.031507395,-0.065321915
47564795,0.35476527,0.030721217,-0.06648898
47576155,0.35452664,0.031174814,-0.06445658
47586878,0.35353595,0.031493153,-0.0656621
47597455,0.35427958,0.03271757,-0.06460545
47608656,0.35501915,0.031907607,-0.06457451
47671376,0.35559022,0.032085788,-0.065609366
47681391,0.35484836,0.030879159,-0.06623959
47691846,0.35353494,0.03155611,-0.065921016
47702397,0.3545221,0.030388638,-0.06561982
