timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
26282901,32767,32767,32767,32767,-27,32767
26287895,-31,32767,32767,32767,32767,32767
26292893,32767,32767,32767,32767,-15,32767
26297895,-24,32767,32767,32767,32767,32767
26302900,32767,32767,32767,32767,-15,32767
26387935,32767,32767,32767,32767,-27,32767
26392940,1,32767,32767,32767,32767,32767
26397942,32767,32767,32767,32767,-15,32767
26402942,10,32767,32767,32767,32767,32767
26407950,32767,32767,32767,32767,-15,32767
26412949,32767,32767,32767,32767,32767,32767
26417958,-32,32767,32767,32767,-12,32767
26422954,32767,32767,32767,-27,32767,32767
26507989,32767,32767,32767,32767,32767,32767
26512994,-6,32767,32767,32767,-14,32767
26517996,32767,32767,32767,32767,32767,32767
26523013,1,32767,32767,32767,-14,32767
26528024,32767,32767,32767,32767,32767,32767
26653068,1,32767,32767,32767,32767,32767
26658056,32767,32767,32767,32767,10,32767
26663062,10,32767,32767,32767,32767,32767
26668064,32767,32767,32767,32767,10,32767
26673068,32767,32767,32767,32767,32767,32767
26678065,-32,32767,32767,32767,12,32767
26748105,32767,32767,32767,32767,32767,32767
26753105,-24,32767,32767,32767,11,32767
26758103,32767,32767,32767,32767,32767,32767
26763114,-15,32767,32767,32767,12,32767
26768105,32767,32767,32767,32767,32767,32767
26888180,32767,32767,32767,32767,32767,32767
26893162,-15,32767,32767,32767,-27,32767
26898166,32767,32767,32767,32767,32767,32767
26903167,-7,32767,32767,32767,-15,32767
26908187,32767,32767,32767,32767,32767,32767
26913180,1,32767,32767,32767,-14,32767
26918185,32767,32767,32767,-30,32767,32767
27008241,32767,32767,32767,32767,-35,32767
27013219,-24,32767,32767,32767,32767,32767
27018241,32767,32767,32767,32767,-30,32767
27023246,-15,32767,32767,32767,32767,32767
27028262,32767,32767,32767,-23,-25,32767
27128269,32767,32767,32767,32767,32767,32767
27133278,-32,32767,32767,32767,-13,32767
27138281,32767,32767,32767,-11,32767,32767
27143286,-24,32767,32767,32767,-9,32767
27148293,32767,32767,32767,32767,32767,32767
27153287,-15,32767,32767,32767,-4,32767
27168296,32767,32767,32767,32767,32767,32767
27173316,0,32767,32767,32767,11,32767
27178306,32767,32767,32767,32767,32767,32767
27183309,10,32767,32767,32767,32767,32767
27188313,32767,32767,32767,-8,-30,32767
27193311,32767,32767,32767,32767,32767,32767
27223326,32767,32767,32767,32767,32767,32767
27228320,-6,32767,32767,32767,-10,32767
27233316,32767,32767,32767,32767,32767,32767
27238320,2,32767,32767,-5,-5,32767
27243321,32767,32767,32767,32767,32767,32767
27248320,11,32767,32767,32767,10,32767
27263330,-32,32767,32767,32767,32767,32767
27268332,32767,32767,32767,32767,11,32767
27273331,-23,32767,32767,32767,32767,32767
27278336,32767,32767,32767,32767,32767,32767
27283339,-15,32767,32767,32767,-35,32767
27288341,32767,32767,32767,32767,32767,32767
27323356,32767,32767,32767,32767,-5,32767
27328356,-32,32767,32767,32767,32767,32767
27333425,32767,32767,32767,32767,0,32767
27338362,-24,32767,32767,32767,32767,32767
27343365,32767,32767,32767,32767,10,32767
27348409,-16,32767,32767,1,32767,32767
27368382,1,32767,32767,32767,-35,32767
27373389,32767,32767,32767,32767,32767,32767
27378381,11,32767,32767,32767,-30,32767
27383392,32767,32767,32767,32767,32767,32767
27388389,32767,32767,32767,32767,-24,32767
27453421,32767,32767,32767,32767,32767,32767
27458414,-32,32767,32767,32767,32767,32767
27463416,32767,32767,32767,-33,-30,32767
27468426,-25,32767,32767,32767,32767,32767
27473425,32767,32767,32767,32767,-25,32767
27478423,-15,32767,32767,32767,32767,32767
27503453,32767,32767,32767,32767,-10,32767
27508443,10,32767,32767,32767,32767,32767
27513443,32767,32767,32767,-30,-5,32767
27518441,32767,32767,32767,32767,32767,32767
27523492,-32,32767,32767,32767,0,32767
27593478,32767,32767,32767,32767,32767,32767
27598477,-24,32767,32767,32767,-5,32767
27603479,32767,32767,32767,32767,32767,32767
27608531,-16,32767,32767,32767,0,32767
27613487,32767,32767,32767,32767,32767,32767
27618488,-7,32767,32767,32767,10,32767
27623497,32767,32767,32767,-14,32767,32767
27653507,-32,32767,32767,32767,-30,32767
