timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
34450072,34450053,1114122,2.3401804,3.7686956,-6.4534426,38.625,0,0,0,0
34947812,34947795,1114122,2.3832512,3.5030923,-6.0083776,38.625,0,0,0,0
35045308,35045291,1114122,2.3114667,3.5030923,-6.410372,38.625,0,0,0,0
35247948,35247929,1114122,2.182254,3.6179478,-6.2668023,38.875,0,0,0,0
35347008,35346962,1114122,2.4335005,3.452843,-6.202196,38.75,0,0,0,0
35445489,35445472,1114122,2.3401804,3.574877,-6.367301,38.75,0,0,0,0
35548066,35548049,1114122,2.4478574,3.5820553,-6.5324054,38.625,0,0,0,0
35945773,35945756,1114122,2.5339992,3.4743783,-6.151947,38.75,0,0,0,0
36042071,36042054,1114122,2.4837499,3.5030923,-6.295516,38.75,0,0,0,0
36246849,36246826,1114122,2.562713,3.424129,-6.252445,38.875,0,0,0,0
36346009,36345985,1114122,2.5411775,3.330809,-6.4965134,38.75,0,0,0,0
36448477,36448460,1114122,2.318645,3.6466615,-6.2811594,38.875,0,0,0,0
36547121,36547105,1114122,2.4478574,3.7974093,-6.2668023,38.875,0,0,0,0
36847435,36847418,1114122,2.5124638,3.5174491,-6.23091,38.75,0,0,0,0
36943649,36943633,1114122,2.376073,3.5820553,-6.04427,38.875,0,0,0,0
37048807,37048784,1114122,2.4119651,3.6035907,-6.5611196,38.75,0,0,0,0
37148890,37148866,1114122,2.4981067,3.5174491,-6.3744793,38.75,0,0,0,0
37245410,37245369,1114122,2.562713,3.5533416,-6.410372,38.75,0,0,0,0
37348860,37348843,1114122,2.4622145,3.6897323,-6.309873,38.75,0,0,0,0
37546459,37546442,1114122,2.5339992,3.8548372,-6.6185474,38.875,0,0,0,0
37747278,37747262,1114122,2.4478574,3.2590244,-6.259624,38.75,0,0,0,0
37846561,37846544,1114122,2.2540388,3.6179478,-6.539584,38.625,0,0,0,0
37946801,37946775,1114122,2.7206392,3.6323047,-6.360122,38.875,0,0,0,0
38145221,38145205,1114122,2.1607187,3.7686956,-6.0514483,38.75,0,0,0,0
38349453,38349430,1114122,2.1607187,3.6323047,-6.4390855,38.875,0,0,0,0
38445522,38445505,1114122,2.519642,3.7112677,-6.553941,38.875,0,0,0,0
38547368,38547351,1114122,2.6057837,3.6035907,-6.087341,38.75,0,0,0,0
38648168,38648152,1114122,2.4478574,3.682554,-6.446264,38.875,0,0,0,0
38745823,38745807,1114122,2.4622145,3.5174491,-6.460621,38.75,0,0,0,0
39247248,39247231,1114122,2.2181466,3.5533416,-6.367301,38.875,0,0,0,0
39347307,39347291,1114122,2.3976083,3.7974093,-6.5898333,38.875,0,0,0,0
39647539,39647516,1114122,2.5124638,3.37388,-6.1016974,38.875,0,0,0,0
39746471,39746454,1114122,2.7708886,3.668197,-6.3888364,39.0,0,0,0,0
39848323,39848306,1114122,2.103291,3.5533416,-6.13759,38.875,0,0,0,0
39947566,39947549,1114122,2.7996025,3.5964124,-6.3960147,38.75,0,0,0,0
40345405,40345382,1114122,2.6919253,3.4313076,-6.094519,38.75,0,0,0,0
40447913,40447889,1114122,2.7134607,3.6610186,-6.518049,38.875,0,0,0,0
40545414,40545398,1114122,2.5411775,3.5964124,-6.582655,38.875,0,0,0,0
40648434,40648416,1114122,2.2325034,3.546163,-6.259624,38.875,0,0,0,0
40747944,40747928,1114122,2.3976083,3.574877,-6.4821563,38.75,0,0,0,0
41443273,41443257,1114122,2.376073,3.7399817,-6.431907,39.0,0,0,0,0
41743574,41743557,1114122,2.5052853,3.6179478,-6.259624,38.875,0,0,0,0
41848456,41848440,1114122,2.2827528,3.6969109,-6.2811594,38.875,0,0,0,0
42049142,42049119,1114122,2.3401804,3.3667014,-6.2237315,38.875,0,0,0,0
42648840,42648820,1114122,2.440679,3.7830524,-6.4247284,39.0,0,0,0,0
42746405,42746386,1114122,2.5914268,3.775874,-6.4247284,38.875,0,0,0,0
42842920,42842904,1114122,2.7421746,3.6610186,-6.467799,39.0,0,0,0,0
42948980,42948964,1114122,2.778067,3.574877,-6.4821563,39.0,0,0,0,0
43046620,43046604,1114122,2.347359,3.775874,-6.3457656,39.0,0,0,0,0
43144277,43144261,1114122,2.2181466,3.6610186,-6.41755,39.0,0,0,0,0
43646836,43646806,1114122,2.7062824,3.65384,-6.446264,38.875,0,0,0,0
43847771,43847754,1114122,2.684747,3.7040894,-6.4390855,39.0,0,0,0,0
43944553,43944536,1114122,2.656033,3.330809,-6.3744793,39.0,0,0,0,0
44347588,44347565,1114122,2.3976083,3.4887352,-6.3816576,38.875,0,0,0,0
44747393,44747369,1114122,2.6416762,3.6035907,-6.1806607,39.0,0,0,0,0
44847501,44847478,1114122,2.5842483,3.4313076,-6.123233,39.125,0,0,0,0
45047464,45047444,1114122,2.3114667,3.682554,-6.2739806,39.125,0,0,0,0
45345103,45345080,1114122,2.4119651,3.6251261,-6.4893346,39.125,0,0,0,0
45447642,45447626,1114122,2.6201408,3.668197,-6.338587,39.125,0,0,0,0
