timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
68088879,68088525,1114122,2228234,-2.5258549e-05,0.00010326556,2.3145574e-05,-0.0005472082,-0.00010388615,-0.04986332,5024,5023,0
71090346,71090019,1114122,2228234,-6.620904e-05,9.192833e-05,2.1794203e-05,-0.00075018563,-0.0011512807,-0.04846134,4977,4954,0
72591096,72590726,1114122,2228234,-9.3093004e-05,0.00010384668,4.374228e-05,-0.001034327,-0.0010002551,-0.049452856,4988,4988,0
74091798,74091509,1114122,2228234,-4.789268e-05,8.957673e-05,5.9462407e-05,2.0818088e-05,-0.001599884,-0.04846197,5001,5001,0
74590950,74589247,1114122,2228234,-9.062496e-05,9.405817e-05,3.3801785e-05,-0.00016272308,-0.0011223416,-0.049915455,4935,5042,0
75090737,75090564,1114122,2228234,-5.3674295e-05,6.479329e-05,4.1722513e-05,-0.00068172923,-0.0012591663,-0.051798787,5056,5245,0
75589985,75587247,1114122,2228234,-5.9957936e-05,8.334942e-05,2.5645097e-05,-0.0007047557,-0.00030524906,-0.048888404,5005,5005,0
77088339,77088011,1114122,2228234,-2.5160112e-05,7.134098e-05,1.7938188e-05,-0.0011239824,-0.0013393213,-0.05008501,4985,5049,0
79091707,79091479,1114122,2228234,-9.650973e-05,8.1795486e-05,2.3104585e-05,-0.0009515927,-0.0006775158,-0.04984275,4875,4955,0
80587567,80587340,1114122,2228234,-5.4373413e-05,3.883752e-05,2.944787e-05,-0.0004622751,-0.00088231283,-0.040013418,5087,3928,0
81091456,81090033,1114122,2228234,-0.00010648424,3.9427676e-05,3.7212063e-05,-0.00040597355,-0.0010710034,-0.04781648,4943,4867,0
84092812,84091512,1114122,2228234,-8.6925735e-05,0.000103297825,3.298217e-05,0.00062358467,-0.0010340988,-0.04938727,4950,5012,0
84590827,84589265,1114122,2228234,-0.000110946625,4.2059946e-05,5.9755308e-05,-0.00059399643,-0.0015062307,-0.049680285,4945,5015,0
85089816,85089544,1114122,2228234,-5.9777158e-05,0.000104576226,5.1969026e-05,-0.00037235025,-0.0011224245,-0.05028773,5022,5094,0
85587679,85587415,1114122,2228234,-8.930207e-05,7.930793e-05,1.4535478e-05,3.210271e-05,-0.0013307943,-0.049912844,5096,5093,0
87088368,87088037,1114122,2228234,-6.436609e-05,7.4710675e-05,2.0579237e-05,-0.00088222534,-0.0002943174,-0.05003745,4985,4984,0
89589689,89589335,1114122,2228234,-8.30559e-05,9.440283e-05,4.4423414e-06,0.00040382927,-0.0015620199,-0.04961889,4993,5003,0
90087266,90084687,1114122,2228234,-8.534811e-05,6.3882784e-05,3.1787386e-05,0.00055881083,-0.0015791293,-0.050974526,5119,5131,0
90587611,90587353,1114122,2228234,-5.1861527e-05,6.9161615e-05,7.5402136e-06,-0.0012625805,-0.0016406293,-0.051160462,5005,5090,0
