timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
62930051,0,0.0,0.0,0.0,0.0,-11.484932,3.2243716e-07,3.31982e-07,0.0,0.031995784,0.024431141,-0.22125846,-0.12497203,6.448743e-05,6.63964e-05,0.0,0.033008236,0.0075164284,-0.007320477,-0.119742684,0.0002478313,0.0,0.15032959,0.3027502,0.5338137,0.17421275,0.14679857,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
63130151,0,0.0,0.0,0.0,0.0,-11.503747,3.2243716e-07,3.31982e-07,0.0,0.032525476,0.024333267,-0.21623594,-0.11602351,6.448743e-05,6.63964e-05,0.0,-0.0012163345,-0.019340383,0.0018080476,-0.11969123,0.0002478313,0.0,0.1467104,0.30274615,0.5381273,0.17420533,0.14752692,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
63230202,0,0.0,0.0,0.0,0.0,-11.513533,3.2243716e-07,3.31982e-07,0.0,0.03361179,0.024164598,-0.21234912,-0.11134959,6.448743e-05,6.63964e-05,0.0,0.030799823,0.014125498,0.0054998123,-0.11965108,0.0002478313,0.0,0.14200783,0.31705615,0.5371417,0.17945242,0.14735466,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
63720438,0,0.0,0.0,0.0,0.0,-11.566782,3.2243716e-07,3.31982e-07,0.0,0.03485357,0.023777269,-0.20279835,-0.10587648,6.448743e-05,6.63964e-05,0.0,0.00268675,0.0185382,-0.0038311912,-0.119588755,0.0002478313,0.0,0.1302309,0.3013367,0.53734696,0.17365596,0.14737181,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
63920538,0,0.0,0.0,0.0,0.0,-11.592787,3.2243716e-07,3.31982e-07,0.0,0.034888875,0.022860892,-0.19914542,-0.108119726,6.448743e-05,6.63964e-05,0.0,0.024815977,0.009561523,0.01113026,-0.1195505,0.0002478313,0.0,0.12639809,0.30133206,0.5353585,0.17365518,0.14702384,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
64220688,0,0.0,0.0,0.0,0.0,-11.637368,3.2243716e-07,3.31982e-07,0.0,0.036266666,0.023429824,-0.19648194,-0.117822215,6.448743e-05,6.63964e-05,0.0,-0.011181539,0.033153523,-0.037774485,-0.119446516,0.0002478313,0.0,0.12583542,0.31556937,0.5386126,0.17888334,0.14756344,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
64320735,0,0.0,0.0,0.0,0.0,-11.648077,3.2243716e-07,3.31982e-07,0.0,0.036746472,0.023240024,-0.19518633,-0.11589864,6.448743e-05,6.63964e-05,0.0,0.014049425,-0.0151590435,-0.04616087,-0.11944182,0.0002478313,0.0,0.13539314,0.30132324,0.5375715,0.17364204,0.14737894,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
64520833,0,0.0,0.0,0.0,0.0,-11.667732,3.2243716e-07,3.31982e-07,0.0,0.037476383,0.023667976,-0.19141775,-0.10984801,6.448743e-05,6.63964e-05,0.0,0.018082576,0.018350827,-0.0012320633,-0.11940058,0.0002478313,0.0,0.1347189,0.30131942,0.53555536,0.1736414,0.14702757,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
64620879,0,0.0,0.0,0.0,0.0,-11.676372,3.2243716e-07,3.31982e-07,0.0,0.03830675,0.024442852,-0.18911803,-0.10570693,6.448743e-05,6.63964e-05,0.0,0.026167648,-0.014241142,0.024472516,-0.11935668,0.0002478313,0.0,0.14097881,0.31556067,0.53455216,0.17888343,0.14685288,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
64720931,0,0.0,0.0,0.0,0.0,-11.68519,3.2243716e-07,3.31982e-07,0.0,0.038249984,0.02401235,-0.18633513,-0.10179324,6.448743e-05,6.63964e-05,0.0,-0.0037428527,-0.030644797,-0.032406233,-0.11929765,0.0002478313,0.0,0.13490295,0.30131635,0.53354347,0.17363876,0.14667638,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
64820994,0,0.0,0.0,0.0,0.0,-11.696545,3.2243716e-07,3.31982e-07,0.0,0.038636234,0.024307879,-0.18440674,-0.10152021,6.448743e-05,6.63964e-05,0.0,0.025331276,0.011232294,-0.003283065,-0.119243875,0.0002478313,0.0,0.124593735,0.31555718,0.5388576,0.17887646,0.14758469,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
64921026,0,0.0,0.0,0.0,0.0,-11.708823,3.2243716e-07,3.31982e-07,0.0,0.038172487,0.024316186,-0.18228313,-0.10194537,6.448743e-05,6.63964e-05,0.0,-0.0027098965,0.0056314636,0.038186315,-0.11921078,0.0002478313,0.0,0.12342262,0.30131316,0.53785586,0.17363481,0.14741242,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
65021075,0,0.0,0.0,0.0,0.0,-11.722015,3.2243716e-07,3.31982e-07,0.0,0.03978966,0.02489606,-0.18096013,-0.10390357,6.448743e-05,6.63964e-05,0.0,0.006046329,0.0033998135,0.027300261,-0.11920301,0.0002478313,0.0,0.12588501,0.31555352,0.5368211,0.17887183,0.14723086,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
65221173,0,0.0,0.0,0.0,0.0,-11.750584,3.2243716e-07,3.31982e-07,0.0,0.039659083,0.024103483,-0.17797081,-0.1090445,6.448743e-05,6.63964e-05,0.0,0.016794898,0.035533912,-0.0008745784,-0.11915149,0.0002478313,0.0,0.1161356,0.31554973,0.540982,0.17886238,0.14792089,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
65621384,0,0.0,0.0,0.0,0.0,-11.812333,3.2243716e-07,3.31982e-07,0.0,0.04075997,0.023135534,-0.17657316,-0.1228012,6.448743e-05,6.63964e-05,0.0,0.016430236,0.0052814456,-0.013339549,-0.11911504,0.0002478313,0.0,0.120204926,0.31554186,0.5365935,0.17885686,0.147139,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
65721444,0,0.0,0.0,0.0,0.0,-11.827502,3.2243716e-07,3.31982e-07,0.0,0.04121504,0.023186028,-0.1765701,-0.12562642,6.448743e-05,6.63964e-05,0.0,0.029754927,0.028801009,-0.023590578,-0.11908722,0.0002478313,0.0,0.11726189,0.30130002,0.5355316,0.1736163,0.14695306,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
65921525,0,0.0,0.0,0.0,0.0,-11.860294,3.2243716e-07,3.31982e-07,0.0,0.042317044,0.023368515,-0.17740777,-0.13348469,6.448743e-05,6.63964e-05,0.0,0.032266077,-0.0020770677,-0.026491446,-0.11910129,0.0002478313,0.0,0.11412048,0.3012979,0.53973114,0.1736221,0.14766215,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
66021580,0,0.0,0.0,0.0,0.0,-11.878348,3.2243716e-07,3.31982e-07,0.0,0.042801335,0.023091549,-0.17696929,-0.13758802,6.448743e-05,6.63964e-05,0.0,0.006817236,0.006403765,-0.015709713,-0.11909027,0.0002478313,0.0,0.11321068,0.31553704,0.5386776,0.17886506,0.14748096,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
