timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
188050984,22715.988,122.71746,6005,316,12088,14336,0,3,138
190052298,22968.242,122.753044,6061,316,9049,14336,0,3,138
191052775,23099.986,122.800545,6092,316,8482,14336,0,3,138
192053412,23226.0,122.81712,6120,316,9185,14336,0,3,138
193053493,23358.729,122.869194,6157,317,13853,14336,0,3,138
194054578,23484.584,122.884125,6193,317,8090,14336,0,3,138
200058152,24242.102,122.984436,6394,321,10966,14336,0,3,138
201058649,24368.094,122.99931,6430,328,14046,14336,0,3,138
204060179,24744.254,123.03399,6537,331,13974,14336,0,3,138
205060834,24868.797,123.04105,6568,331,10046,14336,0,3,138
206061125,24997.682,123.06965,6600,331,11906,14336,0,3,138
207062146,25130.0,123.11434,6634,331,9904,14336,0,3,138
208062863,25264.168,123.1678,6663,331,11985,14336,0,3,138
209063478,25396.0,123.20947,6700,331,7661,14336,0,3,138
210064431,25529.707,123.25958,6736,337,8750,14336,0,3,138
211064670,25662.0,123.30286,6761,337,7312,14336,0,3,138
212065319,25788.0,123.31538,6793,340,9429,14336,0,3,138
215066558,26161.746,123.33256,6880,354,11990,14336,0,3,138
217067648,26418.0,123.37671,6962,356,11857,14336,0,3,138
218068269,26551.902,123.425285,6999,356,8285,14336,0,3,138
219069106,26664.707,123.37566,7022,356,12141,14336,0,3,138
223072071,27174.0,123.44574,7144,357,12354,14336,0,3,138
224072361,27300.0,123.45712,7173,357,12308,14336,0,3,138
225072383,27434.086,123.50496,7207,357,12312,14336,0,3,138
226073708,27546.18,123.45309,7234,357,12769,14336,0,3,138
227073944,27671.963,123.463356,7271,357,10292,14336,0,3,138
229075693,27888.0,123.3258,7328,361,14169,14336,0,3,138
231076593,28098.0,123.16465,7385,366,10405,14336,0,3,138
232076757,28224.0,123.17694,7428,370,14202,14336,0,3,138
233077583,28329.816,123.10106,7464,396,9696,14336,0,3,138
239081081,29002.834,122.82148,7633,407,10714,14336,0,3,138
242083442,29366.137,122.79869,7730,417,7966,14336,0,3,138
243084051,29484.0,122.777824,7760,427,9858,14336,0,3,138
244084094,29590.766,122.7114,7791,439,12098,14336,0,3,138
