timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
8380407,-3.180497,-3.265491,26.91787,1.0
8391177,-3.1830125,-3.2681594,26.933592,1.0
8401943,-3.187906,-3.2731292,26.923588,1.0
8412716,-3.1928363,-3.2783103,26.93788,1.0
8423649,-3.1992571,-3.2848716,26.932163,1.0
8434516,-3.2085304,-3.2944324,26.93931,1.0
8445263,-3.220184,-3.3063745,26.935022,1.0
8456176,-3.233779,-3.320365,26.940739,1.0
8477747,-3.26219,-3.349391,26.923588,1.0
8488680,-3.2657516,-3.3531754,26.946455,1.0
8499430,-3.2579901,-3.345214,26.947886,1.0
8510261,-3.2436306,-3.3305156,26.949314,1.0
8521227,-3.2235873,-3.3098567,26.935022,1.0
8532104,-3.1946263,-3.2796175,26.843035,1.0
8564449,-3.0512288,-3.13245,26.85161,1.0
8575192,-2.9855256,-3.0649567,26.847322,1.0
8586288,-2.9141424,-2.991653,26.843035,1.0
8597040,-2.8447444,-2.920416,26.844463,1.0
8607796,-2.7841005,-2.8581727,26.847322,1.0
8618724,-2.7346346,-2.8072836,26.824455,1.0
8662070,-2.6204693,-2.690659,26.946455,1.0
8672916,-2.6062908,-2.6760147,26.943598,1.0
8683811,-2.5961761,-2.6655786,26.932163,1.0
8748836,-2.4446194,-2.5096886,26.857327,1.0
8759586,-2.399177,-2.4630015,26.848751,1.0
8770357,-2.347226,-2.4096398,26.841606,1.0
8781313,-2.2992399,-2.3603046,26.823025,1.0
8792069,-2.264176,-2.3244212,26.845894,1.0
8802873,-2.2425053,-2.302229,26.860186,1.0
8813939,-2.2319267,-2.2913194,26.847322,1.0
8824727,-2.2323437,-2.2920768,26.933592,1.0
8835493,-2.243513,-2.3035808,26.945026,1.0
8846376,-2.2633765,-2.3240144,26.95503,1.0
8857155,-2.2895737,-2.350919,26.95646,1.0
8867915,-2.321399,-2.383512,26.935022,1.0
8878845,-2.357126,-2.4201605,26.926447,1.0
8889607,-2.391938,-2.455962,26.940739,1.0
8900411,-2.4223893,-2.4872634,26.949314,1.0
8911366,-2.4443772,-2.509918,26.967894,1.0
8932922,-2.4554014,-2.5206892,26.837318,1.0
8943887,-2.4490266,-2.5141873,26.845894,1.0
8954704,-2.4363945,-2.5012429,26.85161,1.0
8965462,-2.4171116,-2.481488,26.861614,1.0
8976468,-2.3961601,-2.4599903,26.864473,1.0
8987262,-2.3810253,-2.4444523,26.864473,1.0
9008931,-2.375792,-2.4390082,26.841606,1.0
9019687,-2.3864884,-2.4499774,26.838747,1.0
9030466,-2.40542,-2.4694362,26.844463,1.0
9041434,-2.4308538,-2.4955885,26.85447,1.0
9095496,-2.5754676,-2.6440177,26.85161,1.0
9106464,-2.603344,-2.6726677,26.858757,1.0
9117213,-2.6314044,-2.701516,26.858757,1.0
9139021,-2.682109,-2.7534666,26.835888,1.0
9149770,-2.7083457,-2.7805004,26.857327,1.0
9160520,-2.732771,-2.805545,26.857327,1.0
9171469,-2.75693,-2.8303475,26.857327,1.0
9182278,-2.782542,-2.8566823,26.865902,1.0
9193122,-2.8087707,-2.8836098,26.865902,1.0
9204081,-2.8354552,-2.91095,26.85447,1.0
9214882,-2.8628135,-2.9390714,26.861614,1.0
9225620,-2.890072,-2.967134,26.877337,1.0
9236557,-2.9160044,-2.993758,26.877337,1.0
9247305,-2.9403017,-3.0186815,26.873049,1.0
9258061,-2.9629383,-3.0419796,26.884483,1.0
9269065,-2.9837842,-3.0633233,26.873049,1.0
9279849,-3.0061605,-3.086166,26.850182,1.0
9290628,-3.0328786,-3.1137285,26.875908,1.0
9301536,-3.060395,-3.1419413,26.868761,1.0
9312293,-3.0856285,-3.1678996,26.878765,1.0
9344882,-3.1540542,-3.2381356,26.874477,1.0
9355618,-3.1757517,-3.2602408,26.843035,1.0
9366552,-3.1973722,-3.282452,26.845894,1.0
9431583,-3.3161006,-3.4043934,26.85161,1.0
9442333,-3.3333898,-3.4221966,26.858757,1.0
9453141,-3.3485742,-3.43763,26.8316,1.0
9474873,-3.369401,-3.4592576,26.874477,1.0
9485665,-3.37684,-3.4668376,26.864473,1.0
9496655,-3.3829448,-3.4731462,26.87162,1.0
9507408,-3.3880599,-3.4782844,26.857327,1.0
9518185,-3.3929076,-3.4832282,26.85161,1.0
9529098,-3.3981342,-3.4885855,26.850182,1.0
9539914,-3.403875,-3.4944792,26.850182,1.0
9550685,-3.410515,-3.5011787,26.8316,1.0
9561663,-3.4182272,-3.509238,26.855898,1.0
9583194,-3.4265192,-3.517726,26.85161,1.0
9594125,-3.421921,-3.5131056,26.868761,1.0
9604930,-3.4113066,-3.5020068,26.838747,1.0
9615800,-3.3965447,-3.4873621,26.926447,1.0
9637413,-3.3470216,-3.436785,26.973612,1.0
9648222,-3.3073943,-3.3958523,26.930735,1.0
9659178,-3.2642016,-3.3516068,26.93931,1.0
9680838,-3.183667,-3.2688923,26.935022,1.0
9691746,-3.146197,-3.2304733,26.945026,1.0
9778304,-2.846621,-2.9224699,26.861614,1.0
9789237,-2.8253663,-2.9006069,26.853039,1.0
9799990,-2.8130846,-2.8879435,26.841606,1.0
9810792,-2.8126583,-2.8874645,26.83303,1.0
9821788,-2.8210459,-2.8965812,26.93788,1.0
9832600,-2.8348324,-2.9106662,26.930735,1.0
